Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
Super Mario Party Jamboree;https://www.grouvee.com/games/100413-super-mario-party-jamboree/;Oct 17, 2024;Nintendo Switch;;;;;;(3.98 average Grouvee user rating);
Sonic X Shadow Generations;https://www.grouvee.com/games/98986-sonic-x-shadow-generations/;Oct 25, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.29 average Grouvee user rating);
MiSide;https://www.grouvee.com/games/102364-miside/;Dec 10, 2024;PC;;;;;;(3.98 average Grouvee user rating);
Crow Country;https://www.grouvee.com/games/99833-crow-country/;May 9, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.05 average Grouvee user rating);
Kunitsu-Gami: Path of the Goddess;https://www.grouvee.com/games/97129-kunitsu-gami-path-of-the-goddess/;Jul 19, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.82 average Grouvee user rating);
Content Warning;https://www.grouvee.com/games/99551-content-warning/;Apr 1, 2024;PC;;;;;;(3.27 average Grouvee user rating);
1000xResist;https://www.grouvee.com/games/98584-1000xresist/;May 9, 2024;Nintendo Switch, PC;;;;;;(4.14 average Grouvee user rating);
Lorelei and the Laser Eyes;https://www.grouvee.com/games/93544-lorelei-and-the-laser-eyes/;May 16, 2024;Nintendo Switch, PC;;;;;;(4.29 average Grouvee user rating);
Duck Detective: The Secret Salami;https://www.grouvee.com/games/99979-duck-detective-the-secret-salami/;May 23, 2024;Linux, Mac, PC;;;;;;(3.49 average Grouvee user rating);
Minishoot' Adventures;https://www.grouvee.com/games/99583-minishoot-adventures/;Apr 2, 2024;PC;;;;;;(4.34 average Grouvee user rating);
S.T.A.L.K.E.R. 2: Heart of Chornobyl;https://www.grouvee.com/games/29632-stalker-2-heart-of-chornobyl/;Nov 20, 2024;PC, Xbox Series X|S;;;;;;(3.45 average Grouvee user rating);
Mario vs. Donkey Kong;https://www.grouvee.com/games/97863-mario-vs-donkey-kong/;Feb 16, 2024;Nintendo Switch;;;;;;(3.26 average Grouvee user rating);
Pepper Grinder;https://www.grouvee.com/games/95088-pepper-grinder/;Mar 28, 2024;Nintendo Switch, PC;;;;;;(3.44 average Grouvee user rating);
Botany Manor;https://www.grouvee.com/games/95090-botany-manor/;Apr 9, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.66 average Grouvee user rating);
Nobody Wants to Die;https://www.grouvee.com/games/99542-nobody-wants-to-die/;Jul 17, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.21 average Grouvee user rating);
Open Roads;https://www.grouvee.com/games/86086-open-roads/;Mar 28, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.10 average Grouvee user rating);
Pacific Drive;https://www.grouvee.com/games/94427-pacific-drive/;Feb 22, 2024;PC, PlayStation 5;;;;;;(3.22 average Grouvee user rating);
Eiyuden Chronicle: Hundred Heroes;https://www.grouvee.com/games/84216-eiyuden-chronicle-hundred-heroes/;Apr 23, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.68 average Grouvee user rating);
Final Fantasy XIV: Dawntrail;https://www.grouvee.com/games/97561-final-fantasy-xiv-dawntrail/;Jul 2, 2024;Mac, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.46 average Grouvee user rating);
Shin Megami Tensei V: Vengeance;https://www.grouvee.com/games/99130-shin-megami-tensei-v-vengeance/;Jun 21, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.22 average Grouvee user rating);
Mario & Luigi: Brothership;https://www.grouvee.com/games/100407-mario-luigi-brothership/;Nov 7, 2024;Nintendo Switch;;;;;;(3.47 average Grouvee user rating);
Rise of the Rōnin;https://www.grouvee.com/games/94429-rise-of-the-ronin/;Mar 22, 2024;PlayStation 5;;;;;;(3.67 average Grouvee user rating);
Turnip Boy Robs a Bank;https://www.grouvee.com/games/94436-turnip-boy-robs-a-bank/;Jan 18, 2024;Android, Nintendo Switch, PC, Xbox One, Xbox Series X|S, iPad, iPhone;;;;;;(3.41 average Grouvee user rating);
Until Dawn;https://www.grouvee.com/games/100042-until-dawn/;Oct 4, 2024;PC, PlayStation 5;;;;;;(3.44 average Grouvee user rating);
Life is Strange: Double Exposure;https://www.grouvee.com/games/100177-life-is-strange-double-exposure/;Oct 29, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.96 average Grouvee user rating);
Tales of Kenzera Zau;https://www.grouvee.com/games/98526-tales-of-kenzera-zau/;Apr 23, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.14 average Grouvee user rating);
Wuthering Waves;https://www.grouvee.com/games/99961-wuthering-waves/;May 22, 2024;Android, PC, iPad, iPhone;;;;;;(3.60 average Grouvee user rating);
Frostpunk 2;https://www.grouvee.com/games/89031-frostpunk-2/;Sep 20, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.63 average Grouvee user rating);
XDefiant;https://www.grouvee.com/games/88697-xdefiant/;May 21, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.98 average Grouvee user rating);
Dungeons of Hinterberg;https://www.grouvee.com/games/97132-dungeons-of-hinterberg/;Jul 18, 2024;PC, Xbox Series X|S;;;;;;(3.86 average Grouvee user rating);
UFO 50;https://www.grouvee.com/games/58705-ufo-50/;Sep 18, 2024;PC;;;;;;(3.93 average Grouvee user rating);
Deep Rock Galactic: Survivor;https://www.grouvee.com/games/98031-deep-rock-galactic-survivor/;Feb 14, 2024;PC;;;;;;(3.71 average Grouvee user rating);
Tomb Raider I-II-III Remastered;https://www.grouvee.com/games/97869-tomb-raider-i-ii-iii-remastered/;Feb 14, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.73 average Grouvee user rating);
Harold Halibut;https://www.grouvee.com/games/57021-harold-halibut/;Apr 16, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.62 average Grouvee user rating);
Chained Together;https://www.grouvee.com/games/100696-chained-together/;Jun 19, 2024;PC;;;;;;(3.28 average Grouvee user rating);
Portal: Revolution;https://www.grouvee.com/games/98863-portal-revolution/;Jan 6, 2024;Linux, PC;;;;;;(3.89 average Grouvee user rating);
Flintlock: The Siege of Dawn;https://www.grouvee.com/games/93240-flintlock-the-siege-of-dawn/;Jul 18, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.14 average Grouvee user rating);
Children of the Sun;https://www.grouvee.com/games/99697-children-of-the-sun/;Apr 9, 2024;PC;;;;;;(3.64 average Grouvee user rating);
Path of Exile 2;https://www.grouvee.com/games/97566-path-of-exile-2/;Dec 6, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.06 average Grouvee user rating);
Dragon Quest III HD-2D Remake;https://www.grouvee.com/games/87802-dragon-quest-iii-hd-2d-remake/;Nov 14, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.66 average Grouvee user rating);
Manor Lords;https://www.grouvee.com/games/83858-manor-lords/;Apr 26, 2024;PC, Xbox One, Xbox Series X|S;;;;;;(3.65 average Grouvee user rating);
The First Descendant;https://www.grouvee.com/games/93654-the-first-descendant/;Jul 2, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.15 average Grouvee user rating);
Anger Foot;https://www.grouvee.com/games/86107-anger-foot/;Jul 11, 2024;PC;;;;;;(3.41 average Grouvee user rating);
Tactical Breach Wizards;https://www.grouvee.com/games/93250-tactical-breach-wizards/;Aug 22, 2024;PC;;;;;;(4.06 average Grouvee user rating);
Emio – The Smiling Man: Famicom Detective Club;https://www.grouvee.com/games/100809-emio-the-smiling-man-famicom-detective-club/;Aug 29, 2024;Nintendo Switch;;;;;;(3.94 average Grouvee user rating);
Age of Mythology: Retold;https://www.grouvee.com/games/100173-age-of-mythology-retold/;Sep 4, 2024;PC, Xbox Series X|S;;;;;;(3.75 average Grouvee user rating);
Sheepy: A Short Adventure;https://www.grouvee.com/games/89257-sheepy-a-short-adventure/;Feb 6, 2024;PC;;;;;;(3.81 average Grouvee user rating);
Penny's Big Breakaway;https://www.grouvee.com/games/97275-pennys-big-breakaway/;Feb 21, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.13 average Grouvee user rating);
WWE 2K24;https://www.grouvee.com/games/98878-wwe-2k24/;Mar 4, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.50 average Grouvee user rating);
Mullet Mad Jack;https://www.grouvee.com/games/97164-mullet-mad-jack/;May 15, 2024;PC;;;;;;(3.72 average Grouvee user rating);
The Casting of Frank Stone;https://www.grouvee.com/games/98521-the-casting-of-frank-stone/;Sep 3, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.03 average Grouvee user rating);
Another Code: Recollection;https://www.grouvee.com/games/97867-another-code-recollection/;Jan 19, 2024;Nintendo Switch;;;;;;(3.68 average Grouvee user rating);
