Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
The Thing Remastered;https://www.grouvee.com/games/102236-the-thing-remastered/;Dec 6, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Fairy Tail 2;https://www.grouvee.com/games/100408-fairy-tail-2/;Dec 11, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(3.00 average Grouvee user rating);
Breath of Death VII: The Beginning: Reanimated;https://www.grouvee.com/games/102418-breath-of-death-vii-the-beginning-reanimated/;Dec 12, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Cabin Factory;https://www.grouvee.com/games/102946-cabin-factory/;Dec 13, 2024;PC;;;;;;(4.00 average Grouvee user rating);
KLETKA;https://www.grouvee.com/games/102860-kletka/;Dec 13, 2024;PC;;;;;;(4.00 average Grouvee user rating);
The Cabin Factory;https://www.grouvee.com/games/102917-the-cabin-factory/;Dec 13, 2024;PC;;;;;;(2.00 average Grouvee user rating);
The Power of Doznath;https://www.grouvee.com/games/102947-the-power-of-doznath/;Dec 13, 2024;PC;;;;;;(1.00 average Grouvee user rating);
The Dark Queen of Mortholme;https://www.grouvee.com/games/102787-the-dark-queen-of-mortholme/;Dec 16, 2024;Linux, Mac, PC;;;;;;(4.00 average Grouvee user rating);
On Your Tail;https://www.grouvee.com/games/100250-on-your-tail/;Dec 16, 2024;Nintendo Switch, PC;;;;;;(4.00 average Grouvee user rating);
Usagi Sekai - Bunny Shaman;https://www.grouvee.com/games/102351-usagi-sekai-bunny-shaman/;Dec 16, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Tarisland;https://www.grouvee.com/games/102435-tarisland/;Dec 24, 2024;PC;;;;;;(2.00 average Grouvee user rating);
REVEREX: DX;https://www.grouvee.com/games/102526-reverex-dx/;Dec 25, 2024;PC;;;;;;(2.00 average Grouvee user rating);
10 Dead Doves;https://www.grouvee.com/games/100511-10-dead-doves/;2024;PC;;;;;;(0 average Grouvee user rating);
171;https://www.grouvee.com/games/95144-171/;2024;PC;;;;;;(0 average Grouvee user rating);
33 Immortals;https://www.grouvee.com/games/97128-33-immortals/;2024;PC, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Albatroz;https://www.grouvee.com/games/100256-albatroz/;2024;PC;;;;;;(0 average Grouvee user rating);
Ale Abbey;https://www.grouvee.com/games/100189-ale-abbey/;2024;PC;;;;;;(0 average Grouvee user rating);
Amerzone: The Explorer's Legacy;https://www.grouvee.com/games/100739-amerzone-the-explorers-legacy/;2024;;;;;;;(0 average Grouvee user rating);
Among the Stars;https://www.grouvee.com/games/100332-among-the-stars/;2024;PC;;;;;;(0 average Grouvee user rating);
ArcheAge Chronicles;https://www.grouvee.com/games/93562-archeage-chronicles/;2024;PC, PlayStation 5;;;;;;(0 average Grouvee user rating);
Beastieball;https://www.grouvee.com/games/101307-beastieball/;2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Beneath;https://www.grouvee.com/games/96093-beneath/;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Beyond These Stars;https://www.grouvee.com/games/96305-beyond-these-stars/;2024;PC;;;;;;(0 average Grouvee user rating);
Bloodrush: Undying Wish;https://www.grouvee.com/games/100381-bloodrush-undying-wish/;2024;Linux, PC;;;;;;(0 average Grouvee user rating);
BrokenLore: UNFOLLOW;https://www.grouvee.com/games/100754-brokenlore-unfollow/;2024;;;;;;;(0 average Grouvee user rating);
Chaos Code -Nemesis Experiment-;https://www.grouvee.com/games/54609-chaos-code-nemesis-experiment/;2024;Arcade;;;;;;(0 average Grouvee user rating);
Chasmal Fear;https://www.grouvee.com/games/97977-chasmal-fear/;2024;PC;;;;;;(0 average Grouvee user rating);
Creeper World IXE;https://www.grouvee.com/games/100277-creeper-world-ixe/;2024;PC;;;;;;(0 average Grouvee user rating);
Debtors' Club;https://www.grouvee.com/games/100556-debtors-club/;2024;PC;;;;;;(0 average Grouvee user rating);
Deep Space Directive;https://www.grouvee.com/games/97681-deep-space-directive/;2024;PC;;;;;;(0 average Grouvee user rating);
Diesel Legacy: The Brazen Age;https://www.grouvee.com/games/97158-diesel-legacy-the-brazen-age/;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Digested;https://www.grouvee.com/games/100785-digested/;2024;;;;;;;(0 average Grouvee user rating);
Disco Samurai;https://www.grouvee.com/games/100100-disco-samurai/;2024;PC;;;;;;(0 average Grouvee user rating);
Dodge This;https://www.grouvee.com/games/99071-dodge-this/;2024;PC;;;;;;(0 average Grouvee user rating);
Dragon Ball Project: Multi;https://www.grouvee.com/games/101156-dragon-ball-project-multi/;2024;Android, PC, iPad, iPhone;;;;;;(0 average Grouvee user rating);
Earthion;https://www.grouvee.com/games/101320-earthion/;2024;Genesis, Nintendo Switch, PlayStation 5;;;;;;(0 average Grouvee user rating);
Emberbane;https://www.grouvee.com/games/96880-emberbane/;Jan 2024;PC;;;;;;(0 average Grouvee user rating);
Every Day We Fight;https://www.grouvee.com/games/100562-every-day-we-fight/;2024;PC;;;;;;(0 average Grouvee user rating);
Fool's End;https://www.grouvee.com/games/98087-fools-end/;Q1 2024;PC;;;;;;(0 average Grouvee user rating);
Forgotlings;https://www.grouvee.com/games/97060-forgotlings/;Jan 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Forgotten But Unbroken;https://www.grouvee.com/games/100526-forgotten-but-unbroken/;2024;PC;;;;;;(0 average Grouvee user rating);
Fretless - The Wrath of Riffson;https://www.grouvee.com/games/97207-fretless-the-wrath-of-riffson/;2024;PC;;;;;;(0 average Grouvee user rating);
Godzilla X Kong: Titan Chasers;https://www.grouvee.com/games/99235-godzilla-x-kong-titan-chasers/;Q1 2024;Android;;;;;;(0 average Grouvee user rating);
Grifford Academy;https://www.grouvee.com/games/100141-grifford-academy/;2024;PC;;;;;;(0 average Grouvee user rating);
Heart Of Muriet;https://www.grouvee.com/games/92176-heart-of-muriet/;Jan 2024;PC;;;;;;(0 average Grouvee user rating);
Hero.EXE;https://www.grouvee.com/games/89437-heroexe/;Jan 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Hidden in My Paradise;https://www.grouvee.com/games/100317-hidden-in-my-paradise/;2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Immortal Hunters;https://www.grouvee.com/games/100148-immortal-hunters/;2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Into the Dead: Our Darkest Days;https://www.grouvee.com/games/95362-into-the-dead-our-darkest-days/;2024;PC;;;;;;(0 average Grouvee user rating);
John Carpenter's Toxic Commando;https://www.grouvee.com/games/97090-john-carpenters-toxic-commando/;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Jump Ship;https://www.grouvee.com/games/100856-jump-ship/;2024;PC;;;;;;(0 average Grouvee user rating);
Kingmakers;https://www.grouvee.com/games/100800-kingmakers/;2024;;;;;;;(0 average Grouvee user rating);
Legends of Old;https://www.grouvee.com/games/95770-legends-of-old/;2024;PC;;;;;;(0 average Grouvee user rating);
Little Problems;https://www.grouvee.com/games/100116-little-problems/;2024;PC;;;;;;(0 average Grouvee user rating);
Little Sim World;https://www.grouvee.com/games/97692-little-sim-world/;Q1 2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Magical Bakery;https://www.grouvee.com/games/100258-magical-bakery/;2024;PC;;;;;;(0 average Grouvee user rating);
Mariachi Legends;https://www.grouvee.com/games/97149-mariachi-legends/;2024;PC;;;;;;(0 average Grouvee user rating);
Mars Tactics;https://www.grouvee.com/games/96442-mars-tactics/;2024;PC;;;;;;(0 average Grouvee user rating);
Mexico, 1921. A Deep Slumber.;https://www.grouvee.com/games/100333-mexico-1921-a-deep-slumber/;2024;PC;;;;;;(0 average Grouvee user rating);
Mind Over Magnet;https://www.grouvee.com/games/100386-mind-over-magnet/;2024;PC;;;;;;(0 average Grouvee user rating);
Minigolf Blast;https://www.grouvee.com/games/98671-minigolf-blast/;Q1 2024;PC;;;;;;(0 average Grouvee user rating);
NEO BERLIN 2087;https://www.grouvee.com/games/100765-neo-berlin-2087/;2024;;;;;;;(0 average Grouvee user rating);
Ninja Slayer: Neo-Saitama in Flames;https://www.grouvee.com/games/100104-ninja-slayer-neo-saitama-in-flames/;2024;PC;;;;;;(0 average Grouvee user rating);
Obscurity: Unknown Threat;https://www.grouvee.com/games/93997-obscurity-unknown-threat/;2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Once Upon a Puppet;https://www.grouvee.com/games/59969-once-upon-a-puppet/;2024;PC;;;;;;(0 average Grouvee user rating);
Petal Crash 2;https://www.grouvee.com/games/98066-petal-crash-2/;2024;;;;;;;(0 average Grouvee user rating);
Planetiles;https://www.grouvee.com/games/98368-planetiles/;2024;;;;;;;(0 average Grouvee user rating);
RunMan Turbo;https://www.grouvee.com/games/101329-runman-turbo/;2024;PC;;;;;;(0 average Grouvee user rating);
Runa & The Chaikurú Legacy;https://www.grouvee.com/games/100327-runa-the-chaikuru-legacy/;2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
ShapeHero Factory;https://www.grouvee.com/games/98117-shapehero-factory/;Jan 2024;PC;;;;;;(0 average Grouvee user rating);
Sky Defense: War Duty;https://www.grouvee.com/games/101638-sky-defense-war-duty/;Jan 2024;Android, iPhone;;;;;;(0 average Grouvee user rating);
Sky Oceans: Wings for Hire;https://www.grouvee.com/games/100137-sky-oceans-wings-for-hire/;2024;PC;;;;;;(0 average Grouvee user rating);
Spanky!;https://www.grouvee.com/games/98818-spanky/;Jan 2024;PC;;;;;;(0 average Grouvee user rating);
Starminer;https://www.grouvee.com/games/98417-starminer/;2024;PC;;;;;;(0 average Grouvee user rating);
Stay with Me! Alien Abduction Story;https://www.grouvee.com/games/100378-stay-with-me-alien-abduction-story/;2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Steel Seed;https://www.grouvee.com/games/97119-steel-seed/;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Supermoves;https://www.grouvee.com/games/98598-supermoves/;2024;PC;;;;;;(0 average Grouvee user rating);
Tales of Seikyu;https://www.grouvee.com/games/99791-tales-of-seikyu/;2024;Nintendo Switch, PC;;;;;;(0 average Grouvee user rating);
The Crust;https://www.grouvee.com/games/93541-the-crust/;Jan 2024;PC;;;;;;(0 average Grouvee user rating);
The Lost Wild;https://www.grouvee.com/games/92166-the-lost-wild/;2024;PC;;;;;;(0 average Grouvee user rating);
The Night Wanderer;https://www.grouvee.com/games/99541-the-night-wanderer/;Jan 1, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
The Phantom;https://www.grouvee.com/games/101511-the-phantom/;2024;PC;;;;;;(0 average Grouvee user rating);
The Starbites: Taste of Desert;https://www.grouvee.com/games/101545-the-starbites-taste-of-desert/;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Tidy Cauldron;https://www.grouvee.com/games/100284-tidy-cauldron/;2024;PC;;;;;;(0 average Grouvee user rating);
Towers of Aghasba;https://www.grouvee.com/games/96937-towers-of-aghasba/;2024;PC, PlayStation 5;;;;;;(0 average Grouvee user rating);
Umami Grove;https://www.grouvee.com/games/100282-umami-grove/;2024;PC;;;;;;(0 average Grouvee user rating);
Unawake;https://www.grouvee.com/games/98420-unawake/;2024;PC;;;;;;(0 average Grouvee user rating);
Under Canopies;https://www.grouvee.com/games/100367-under-canopies/;2024;PC;;;;;;(0 average Grouvee user rating);
Urban Jungle;https://www.grouvee.com/games/100405-urban-jungle/;2024;PC;;;;;;(0 average Grouvee user rating);
Vivaland;https://www.grouvee.com/games/100003-vivaland/;2024;PC;;;;;;(0 average Grouvee user rating);
Wheel World;https://www.grouvee.com/games/97368-wheel-world/;2024;PC;;;;;;(0 average Grouvee user rating);
Yes, Your Grace: Snowfall;https://www.grouvee.com/games/100390-yes-your-grace-snowfall/;2024;PC;;;;;;(0 average Grouvee user rating);
Climb Challenge - Find Items Cyberpunk;https://www.grouvee.com/games/101685-climb-challenge-find-items-cyberpunk/;Jan 3, 2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
TRAMCITY HAKODATE;https://www.grouvee.com/games/98765-tramcity-hakodate/;Jan 4, 2024;PC;;;;;;(0 average Grouvee user rating);
BIKE RIDE 3D;https://www.grouvee.com/games/99311-bike-ride-3d/;Jan 5, 2024;PC;;;;;;(0 average Grouvee user rating);
Stay Still;https://www.grouvee.com/games/100749-stay-still/;Jan 6, 2024;;;;;;;(0 average Grouvee user rating);
Supernormal;https://www.grouvee.com/games/100748-supernormal/;Jan 8, 2024;;;;;;;(0 average Grouvee user rating);
NovaX;https://www.grouvee.com/games/99310-novax/;Jan 9, 2024;PC;;;;;;(0 average Grouvee user rating);
Despair: Blood Curse;https://www.grouvee.com/games/99394-despair-blood-curse/;Jan 10, 2024;PC;;;;;;(0 average Grouvee user rating);
Devil May Cry: Peak of Combat;https://www.grouvee.com/games/98920-devil-may-cry-peak-of-combat/;Jan 10, 2024;Android;;;;;;(0 average Grouvee user rating);
Frostrain;https://www.grouvee.com/games/102097-frostrain/;Jan 11, 2024;PC;;;;;;(0 average Grouvee user rating);
Metal Ascension;https://www.grouvee.com/games/98860-metal-ascension/;Jan 11, 2024;;;;;;;(0 average Grouvee user rating);
ARRIVAL: ZERO EARTH;https://www.grouvee.com/games/98859-arrival-zero-earth/;Jan 12, 2024;PC;;;;;;(0 average Grouvee user rating);
Angel at Dusk;https://www.grouvee.com/games/101563-angel-at-dusk/;Jan 12, 2024;Nintendo Switch, PC;;;;;;(0 average Grouvee user rating);
Mortisomem;https://www.grouvee.com/games/99392-mortisomem/;Jan 12, 2024;PC;;;;;;(0 average Grouvee user rating);
Sovereign Syndicate;https://www.grouvee.com/games/99362-sovereign-syndicate/;Jan 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Toxic Bomb;https://www.grouvee.com/games/101484-toxic-bomb/;Jan 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Toxic Tomb;https://www.grouvee.com/games/99845-toxic-tomb/;Jan 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Ravendawn;https://www.grouvee.com/games/95338-ravendawn/;Jan 16, 2024;PC;;;;;;(0 average Grouvee user rating);
77th: The Game;https://www.grouvee.com/games/100961-77th-the-game/;Jan 17, 2024;PC;;;;;;(0 average Grouvee user rating);
Distant Sun;https://www.grouvee.com/games/102035-distant-sun/;Jan 17, 2024;PC;;;;;;(0 average Grouvee user rating);
No Case Should Remain Unsolved;https://www.grouvee.com/games/102110-no-case-should-remain-unsolved/;Jan 17, 2024;Nintendo Switch, PC;;;;;;(0 average Grouvee user rating);
Floomy;https://www.grouvee.com/games/98930-floomy/;Jan 18, 2024;PC;;;;;;(0 average Grouvee user rating);
New Cycle;https://www.grouvee.com/games/97205-new-cycle/;Jan 18, 2024;PC;;;;;;(0 average Grouvee user rating);
Three Kingdoms Zhao Yun;https://www.grouvee.com/games/99312-three-kingdoms-zhao-yun/;Jan 18, 2024;PC;;;;;;(0 average Grouvee user rating);
Apex Heroines;https://www.grouvee.com/games/101334-apex-heroines/;Jan 19, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Gordian Rooms 2 A Curious Island;https://www.grouvee.com/games/102877-gordian-rooms-2-a-curious-island/;Jan 19, 2024;PC;;;;;;(0 average Grouvee user rating);
Jailbreaker;https://www.grouvee.com/games/98931-jailbreaker/;Jan 23, 2024;;;;;;;(0 average Grouvee user rating);
Little Known Galaxy;https://www.grouvee.com/games/102414-little-known-galaxy/;Jan 23, 2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Remnant Records;https://www.grouvee.com/games/101585-remnant-records/;Jan 23, 2024;PC;;;;;;(0 average Grouvee user rating);
Dracula Awakens;https://www.grouvee.com/games/99460-dracula-awakens/;Jan 24, 2024;PC;;;;;;(0 average Grouvee user rating);
Plastomorphosis;https://www.grouvee.com/games/99453-plastomorphosis/;Jan 24, 2024;PC;;;;;;(0 average Grouvee user rating);
Toribash Next;https://www.grouvee.com/games/98764-toribash-next/;Jan 24, 2024;PC;;;;;;(0 average Grouvee user rating);
Darkcean;https://www.grouvee.com/games/98969-darkcean/;Jan 25, 2024;PC;;;;;;(0 average Grouvee user rating);
Macross: Shooting Insight;https://www.grouvee.com/games/97672-macross-shooting-insight/;Jan 25, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(0 average Grouvee user rating);
Lorhaven: Cursed War;https://www.grouvee.com/games/99030-lorhaven-cursed-war/;Jan 26, 2024;PC;;;;;;(0 average Grouvee user rating);
Minimalist Tower Defense;https://www.grouvee.com/games/99662-minimalist-tower-defense/;Jan 26, 2024;PC;;;;;;(0 average Grouvee user rating);
Chronique des Silencieux;https://www.grouvee.com/games/100676-chronique-des-silencieux/;Jan 29, 2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Poppy Playtime: Chapter 3;https://www.grouvee.com/games/101830-poppy-playtime-chapter-3/;Jan 30, 2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Postmouse;https://www.grouvee.com/games/99367-postmouse/;Jan 30, 2024;PC;;;;;;(0 average Grouvee user rating);
Don't Pee;https://www.grouvee.com/games/102315-dont-pee/;Feb 1, 2024;PC;;;;;;(0 average Grouvee user rating);
Dont Pee;https://www.grouvee.com/games/102059-dont-pee/;Feb 1, 2024;PC;;;;;;(0 average Grouvee user rating);
Exotic Fighter;https://www.grouvee.com/games/98913-exotic-fighter/;Feb 1, 2024;PC;;;;;;(0 average Grouvee user rating);
Project Demigod;https://www.grouvee.com/games/102143-project-demigod/;Feb 1, 2024;PC;;;;;;(0 average Grouvee user rating);
GUNVOLT RECORDS: Cychronicle;https://www.grouvee.com/games/100921-gunvolt-records-cychronicle/;Feb 5, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Tales of Spark;https://www.grouvee.com/games/99378-tales-of-spark/;Feb 5, 2024;PC;;;;;;(0 average Grouvee user rating);
Connected Hearts Cost of Beauty Collectors Edition;https://www.grouvee.com/games/101758-connected-hearts-cost-of-beauty-collectors-edition/;Feb 6, 2024;PC;;;;;;(0 average Grouvee user rating);
Connected Hearts Cost of Beauty Collectors Edition;https://www.grouvee.com/games/101759-connected-hearts-cost-of-beauty-collectors-edition/;Feb 6, 2024;PC;;;;;;(0 average Grouvee user rating);
WitchHand;https://www.grouvee.com/games/99079-witchhand/;Feb 7, 2024;PC;;;;;;(0 average Grouvee user rating);
Illang;https://www.grouvee.com/games/98336-illang/;Feb 8, 2024;Android, Nintendo Switch, PlayStation 5, Xbox Series X|S, iPhone;;;;;;(0 average Grouvee user rating);
Monster Tiles TD: Tower Wars;https://www.grouvee.com/games/99654-monster-tiles-td-tower-wars/;Feb 11, 2024;PC;;;;;;(0 average Grouvee user rating);
Shrimp.io;https://www.grouvee.com/games/99384-shrimpio/;Feb 12, 2024;Amstrad CPC, Android;;;;;;(0 average Grouvee user rating);
FROGUE;https://www.grouvee.com/games/102900-frogue/;Feb 14, 2024;PC, PlayStation 4, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Folgore;https://www.grouvee.com/games/99628-folgore/;Feb 14, 2024;PC;;;;;;(0 average Grouvee user rating);
GENIE Reprise;https://www.grouvee.com/games/101185-genie-reprise/;Feb 14, 2024;PlayStation 5, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Clash II;https://www.grouvee.com/games/99718-clash-ii/;Feb 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Maid of the Dead;https://www.grouvee.com/games/101457-maid-of-the-dead/;Feb 15, 2024;Nintendo Switch, PC;;;;;;(0 average Grouvee user rating);
Pearls of Atlantis: The Cove;https://www.grouvee.com/games/99559-pearls-of-atlantis-the-cove/;Feb 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Shovel Pirate;https://www.grouvee.com/games/99357-shovel-pirate/;Feb 15, 2024;PC;;;;;;(0 average Grouvee user rating);
That's Not My Neighbor;https://www.grouvee.com/games/102189-thats-not-my-neighbor/;Feb 15, 2024;PC;;;;;;(0 average Grouvee user rating);
Yatagarasu: Enter the Eastward;https://www.grouvee.com/games/101896-yatagarasu-enter-the-eastward/;Feb 15, 2024;Arcade, PC;;;;;;(0 average Grouvee user rating);
Christmas Stories The Legend of Toymakers Collectors Edition;https://www.grouvee.com/games/102833-christmas-stories-the-legend-of-toymakers-collectors-edition/;Feb 16, 2024;PC;;;;;;(0 average Grouvee user rating);
Hope is Gone;https://www.grouvee.com/games/99393-hope-is-gone/;Feb 16, 2024;;;;;;;(0 average Grouvee user rating);
The Legend of Heroes: Trails of Cold Steel III / Trails of Cold Steel IV;https://www.grouvee.com/games/97928-the-legend-of-heroes-trails-of-cold-steel-iii-trails-of-cold-steel-iv/;Feb 16, 2024;PlayStation 5;;;;;;(0 average Grouvee user rating);
Night Out;https://www.grouvee.com/games/99125-night-out/;Feb 19, 2024;PC;;;;;;(0 average Grouvee user rating);
Xeno Runners;https://www.grouvee.com/games/102749-xeno-runners/;Feb 19, 2024;PC;;;;;;(0 average Grouvee user rating);
BEASTWATCH: Meat & Mayhem;https://www.grouvee.com/games/99459-beastwatch-meat-mayhem/;Feb 20, 2024;PC;;;;;;(0 average Grouvee user rating);
Ooka Ooka Adventure;https://www.grouvee.com/games/99276-ooka-ooka-adventure/;Feb 20, 2024;PC;;;;;;(0 average Grouvee user rating);
Plane Accident;https://www.grouvee.com/games/99149-plane-accident/;Feb 20, 2024;PC;;;;;;(0 average Grouvee user rating);
Geometry Survivor;https://www.grouvee.com/games/102793-geometry-survivor/;Feb 21, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Myth of Empires;https://www.grouvee.com/games/99565-myth-of-empires/;Feb 21, 2024;PC;;;;;;(0 average Grouvee user rating);
Shin-chan: Shiro and the Coal Town;https://www.grouvee.com/games/100938-shin-chan-shiro-and-the-coal-town/;Feb 22, 2024;Nintendo Switch, PC;;;;;;(0 average Grouvee user rating);
9-Bit Armies: A Bit Too Far;https://www.grouvee.com/games/99162-9-bit-armies-a-bit-too-far/;Feb 23, 2024;PC;;;;;;(0 average Grouvee user rating);
CHERNO;https://www.grouvee.com/games/101575-cherno/;Feb 23, 2024;PC;;;;;;(0 average Grouvee user rating);
Gods Plan;https://www.grouvee.com/games/102876-gods-plan/;Feb 23, 2024;PC;;;;;;(0 average Grouvee user rating);
Isle of Maligree;https://www.grouvee.com/games/99173-isle-of-maligree/;Feb 23, 2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Mimic Logic;https://www.grouvee.com/games/99748-mimic-logic/;Feb 23, 2024;;;;;;;(0 average Grouvee user rating);
Mystery of Melody Memorial;https://www.grouvee.com/games/98202-mystery-of-melody-memorial/;Feb 23, 2024;PC;;;;;;(0 average Grouvee user rating);
Windowkill;https://www.grouvee.com/games/101600-windowkill/;Feb 23, 2024;PC;;;;;;(0 average Grouvee user rating);
Spark Vs The Marshmallows;https://www.grouvee.com/games/99278-spark-vs-the-marshmallows/;Feb 25, 2024;PC;;;;;;(0 average Grouvee user rating);
Gods Against Machines;https://www.grouvee.com/games/99168-gods-against-machines/;Feb 26, 2024;PC;;;;;;(0 average Grouvee user rating);
Pocket Fishing;https://www.grouvee.com/games/99163-pocket-fishing/;Feb 26, 2024;Nintendo Switch;;;;;;(0 average Grouvee user rating);
Alone in the crowd;https://www.grouvee.com/games/102169-alone-in-the-crowd/;Feb 27, 2024;PC;;;;;;(0 average Grouvee user rating);
Cats Love Boxes;https://www.grouvee.com/games/101554-cats-love-boxes/;Feb 28, 2024;Linux, PC;;;;;;(0 average Grouvee user rating);
Escape the Arcade;https://www.grouvee.com/games/100223-escape-the-arcade/;Feb 28, 2024;Playdate;;;;;;(0 average Grouvee user rating);
STAR WARS: Dark Forces Remaster;https://www.grouvee.com/games/102654-star-wars-dark-forces-remaster/;Feb 28, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Ad Infernum;https://www.grouvee.com/games/99391-ad-infernum/;Feb 29, 2024;PC;;;;;;(0 average Grouvee user rating);
Matsukeke BURST!;https://www.grouvee.com/games/99284-matsukeke-burst/;Feb 29, 2024;Nintendo Switch;;;;;;(0 average Grouvee user rating);
OLLLO;https://www.grouvee.com/games/99283-olllo/;Feb 29, 2024;Nintendo Switch;;;;;;(0 average Grouvee user rating);
The C64 Collection 3;https://www.grouvee.com/games/98503-the-c64-collection-3/;Feb 29, 2024;Evercade;;;;;;(0 average Grouvee user rating);
Animals Drop;https://www.grouvee.com/games/99835-animals-drop/;Mar 1, 2024;Nintendo Switch, PlayStation 4;;;;;;(0 average Grouvee user rating);
Corgi's Travel;https://www.grouvee.com/games/99838-corgis-travel/;Mar 1, 2024;Nintendo Switch;;;;;;(0 average Grouvee user rating);
VoxelScaper;https://www.grouvee.com/games/99356-voxelscaper/;Mar 1, 2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Amazing Weekend Search and Relax Collectors Edition;https://www.grouvee.com/games/101368-amazing-weekend-search-and-relax-collectors-edition/;Mar 2, 2024;PC;;;;;;(0 average Grouvee user rating);
Return Alive;https://www.grouvee.com/games/99918-return-alive/;Mar 4, 2024;PC;;;;;;(0 average Grouvee user rating);
Athena Crisis;https://www.grouvee.com/games/100985-athena-crisis/;Mar 5, 2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
CRUX;https://www.grouvee.com/games/99388-crux/;Mar 5, 2024;PC;;;;;;(0 average Grouvee user rating);
S.T.A.L.K.E.R.: Legends of the Zone Trilogy;https://www.grouvee.com/games/100834-stalker-legends-of-the-zone-trilogy/;Mar 6, 2024;Nintendo Switch, PlayStation 4, Xbox One;;;;;;(0 average Grouvee user rating);
Potions: A Curious Tale;https://www.grouvee.com/games/54525-potions-a-curious-tale/;Mar 7, 2024;Linux, Mac, PC;;;;;;(0 average Grouvee user rating);
Top Racer Collection;https://www.grouvee.com/games/98144-top-racer-collection/;Mar 7, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(0 average Grouvee user rating);
Barbotine;https://www.grouvee.com/games/99539-barbotine/;Mar 8, 2024;PC;;;;;;(0 average Grouvee user rating);
Cosmic Reach;https://www.grouvee.com/games/99294-cosmic-reach/;Mar 8, 2024;Linux, PC;;;;;;(0 average Grouvee user rating);
Make It Stop!;https://www.grouvee.com/games/99181-make-it-stop/;Mar 8, 2024;PC;;;;;;(0 average Grouvee user rating);
Summerhouse;https://www.grouvee.com/games/101499-summerhouse/;Mar 8, 2024;Mac, PC;;;;;;(0 average Grouvee user rating);
Exanimum The Silent Call;https://www.grouvee.com/games/102472-exanimum-the-silent-call/;Mar 11, 2024;PC;;;;;;(0 average Grouvee user rating);
Stellar Settlers: Space Base Builder;https://www.grouvee.com/games/99569-stellar-settlers-space-base-builder/;Mar 11, 2024;PC;;;;;;(0 average Grouvee user rating);
CAT & ONION;https://www.grouvee.com/games/101816-cat-onion/;Mar 12, 2024;PC;;;;;;(0 average Grouvee user rating);
