Titre;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne
Lollipop Chainsaw RePop;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.35 average Grouvee user rating)
EA Sports FC 25;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.77 average Grouvee user rating)
Infinity Nikki;2024;Android, PC, PlayStation 4, PlayStation 5, iPhone;;;;;;(3.54 average Grouvee user rating)
Ultros;2024;PC, PlayStation 4, PlayStation 5;;;;;;(3.60 average Grouvee user rating)
Pokémon Trading Card Game Pocket;2024;Android, iPad, iPhone;;;;;;(3.24 average Grouvee user rating)
Snufkin: Melody of Moominvalley;2024;Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating)
Once Human;2024;PC;;;;;;(3.13 average Grouvee user rating)
Harry Potter: Quidditch Champions;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(2.67 average Grouvee user rating)
Diablo IV: Vessel of Hatred;2024;Mac, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.33 average Grouvee user rating)
Cryptmaster;2024;PC;;;;;;(3.48 average Grouvee user rating)
Brothers: A Tale of Two Sons Remake;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.18 average Grouvee user rating)
SteamWorld Heist II;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.95 average Grouvee user rating)
LEGO Horizon Adventures;2024;Nintendo Switch, PC, PlayStation 5;;;;;;(2.59 average Grouvee user rating)
Lil' Guardsman;2024;PC;;;;;;(3.67 average Grouvee user rating)
Skull & Bones;2024;Amazon Luna, PC, PlayStation 5, Xbox Series X|S;;;;;;(2.29 average Grouvee user rating)
Until Then;2024;PC;;;;;;(4.48 average Grouvee user rating)
World of Goo 2;2024;Nintendo Switch, PC;;;;;;(3.81 average Grouvee user rating)
Nintendo World Championships: NES Edition;2024;Nintendo Switch;;;;;;(3.55 average Grouvee user rating)
Shogun Showdown;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.65 average Grouvee user rating)
Tiny Glade;2024;Linux, PC;;;;;;(3.70 average Grouvee user rating)
Monument Valley III;2024;;;;;;;(3.95 average Grouvee user rating)
Momodora: Moonlit Farewell;2024;PC;;;;;;(3.42 average Grouvee user rating)
Foamstars;2024;PlayStation 4, PlayStation 5;;;;;;(2.32 average Grouvee user rating)
Hauntii;2024;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.11 average Grouvee user rating)
Apollo Justice: Ace Attorney Trilogy;2024;Nintendo Switch, PC, PlayStation 4, Xbox One;;;;;;(4.11 average Grouvee user rating)
South Park: Snow Day;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(1.78 average Grouvee user rating)
Arranger: A Role-Puzzling Adventure;2024;PC;;;;;;(3.22 average Grouvee user rating)
Ravenswatch;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.61 average Grouvee user rating)
