Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Nightmare Kart;https://www.grouvee.com/games/99832-nightmare-kart/;May 31, 2024;;LWMedia;LWMedia;Driving/Racing , Vehicular Combat;;3.86;PC
CLICKOLDING;https://www.grouvee.com/games/100807-clickolding/;Jul 17, 2024;;Strange Scaffold;Outersloth , Strange Scaffold;Horror;;1.86;PC
Yars Rising;https://www.grouvee.com/games/99629-yars-rising/;Sep 10, 2024;;WayForward Technologies;Atari SA;Adventure , Platformer;Yars' Revenge;3.00;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Wilmot Works It Out;https://www.grouvee.com/games/101273-wilmot-works-it-out/;Oct 23, 2024;;Hollow Ponds , Richard Hogg;Finji;Puzzle;Wilmot;4.43;Mac, PC
The Jackbox Survey Scramble;https://www.grouvee.com/games/101943-the-jackbox-survey-scramble/;Oct 24, 2024;;Jackbox Games, Inc.;Jackbox Games, Inc.;Strategy , Trivia/Board Game;The Jackbox Party Pack;3.43;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
[Redacted];https://www.grouvee.com/games/102508-redacted/;Oct 27, 2024;;Striking Distance Studios;Krafton Game Union;Action , Shooter;;3.71;PC, PlayStation 5, Xbox Series X|S
Pokemon Trading Card Game Pocket;https://www.grouvee.com/games/101725-pokemon-trading-card-game-pocket/;Oct 30, 2024;;Nintendo;Nintendo;Card Game;;3.86;Android, iPhone
Strinova;https://www.grouvee.com/games/102280-strinova/;Nov 22, 2024;;;;Action , Shooter;;2.57;PC
Legacy of Kain: Soul Reaver 1 & 2 Remastered;https://www.grouvee.com/games/101530-legacy-of-kain-soul-reaver-1-2-remastered/;Dec 10, 2024;;Aspyr Media, Inc. , Crystal Dynamics, Inc.;Aspyr Media, Inc.;Action-Adventure , Compilation;Legacy of Kain , Soul Reaver;3.57;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Desvelado;https://www.grouvee.com/games/100338-desvelado/;dimanche 16 juillet 1905;;Joaquín Calvo , Pablo Cuello , Valentín Zacarías;Vampy Games;Platformer;;4.33;PC
Expeditions: A MudRunner Game;https://www.grouvee.com/games/97699-expeditions-a-mudrunner-game/;Mar 1, 2024;;Saber Interactive;Focus Home Interactive;Driving/Racing , Simulation;MudRunner;2.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
The Mobius Machine;https://www.grouvee.com/games/99189-the-mobius-machine/;Mar 1, 2024;;Madruga Works;Madruga Works;Action-Adventure;;3.00;PC, PlayStation 5, Xbox Series X|S
Astro Duel 2;https://www.grouvee.com/games/99274-astro-duel-2/;Mar 7, 2024;;Rusty Moyher;Wild Rooster;Platformer , Shooter;;2.17;PC
Mars After Midnight;https://www.grouvee.com/games/88070-mars-after-midnight/;Mar 12, 2024;;Lucas Pope;;Adventure , Puzzle;;4.17;Playdate
Felvidek;https://www.grouvee.com/games/99746-felvidek/;Mar 29, 2024;;;;Role-Playing;;3.33;PC
Call of Duty: Warzone Mobile;https://www.grouvee.com/games/94441-call-of-duty-warzone-mobile/;Apr 2024;;Activision Shanghai , Beenox Studios , Digital Legends Entertainment , Solid State Studios;Activision;First-Person Shooter;Call of Duty , Modern Warfare;3.00;Android, iPhone
SaGa Emerald Beyond;https://www.grouvee.com/games/97868-saga-emerald-beyond/;Apr 25, 2024;;Square Enix;Square Enix;Role-Playing;SaGa;2.17;Android, Nintendo Switch, PC, PlayStation 4, PlayStation 5, iPad, iPhone
An English Haunting;https://www.grouvee.com/games/99950-an-english-haunting/;May 15, 2024;;Postmodern Adventures;Postmodern Adventures , enComplot;Puzzle;;3.33;PC
Platform 8;https://www.grouvee.com/games/100044-platform-8/;May 31, 2024;;Kotake Create;Kotake Create , Playism;Adventure , Simulation;8;3.00;Nintendo Switch, PC
Gladiator Guild Manager;https://www.grouvee.com/games/84957-gladiator-guild-manager/;Jun 22, 2024;;Entertainment Forge;Gamera Game , GrabTheGames , UpgradePoint;Simulation , Strategy;;3.17;Mac, PC
ONE BTN BOSSES;https://www.grouvee.com/games/101003-one-btn-bosses/;Aug 6, 2024;;Midnight Munchies;Midnight Munchies , Outersloth;Action;;3.67;PC
Sumerian Six;https://www.grouvee.com/games/100193-sumerian-six/;Sep 2, 2024;;Artificer;Devolver Digital;;;4.17;PC
Rugrats: Adventures in Gameland;https://www.grouvee.com/games/99051-rugrats-adventures-in-gameland/;Sep 10, 2024;;The MIX Games , Wallride;Limited Run Games , The MIX Games;Platformer;Nickelodeon , Rugrats;2.00;Nintendo Entertainment System, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Beyond Shadowgate;https://www.grouvee.com/games/44067-beyond-shadowgate/;Sep 19, 2024;;GrahfMetal , Zojoi;Zojoi;Adventure;Shadowgate;3.33;PC
Just a To the Moon Series Beach Episode;https://www.grouvee.com/games/101799-just-a-to-the-moon-series-beach-episode/;Sep 20, 2024;;Freebird Games;Freebird Games;Adventure , Role-Playing;To the Moon;4.17;PC
GRUNN;https://www.grouvee.com/games/101821-grunn/;Oct 4, 2024;;Sokpop Collective;Sokpop Collective;Adventure , Horror;;3.67;PC
Is This Game Trying to Kill Me?;https://www.grouvee.com/games/101968-is-this-game-trying-to-kill-me/;Nov 13, 2024;;Stately Snail;Stately Snail;Adventure;;3.17;PC
Atlyss;https://www.grouvee.com/games/102083-atlyss/;Nov 22, 2024;;;KisSoft;Action-Adventure , Role-Playing;;3.50;PC
Ballionaire;https://www.grouvee.com/games/102332-ballionaire/;Dec 10, 2024;;newobject;Raw Fury;Strategy;;2.67;PC
Broken Roads;https://www.grouvee.com/games/78884-broken-roads/;lundi 1 janvier 2024;;Drop Bear Bytes;Drop Bear Bytes , Team17 Software Limited;Role-Playing;;2.40;Nintendo Switch, PC, PlayStation 4, Xbox One
Replaced;https://www.grouvee.com/games/88170-replaced/;dimanche 16 juillet 1905;;Sad Cat Studios;Coatsink Software;Action-Adventure , Platformer;;4.20;PC, Xbox One, Xbox Series X|S
KinitoPET;https://www.grouvee.com/games/99665-kinitopet/;Jan 9, 2024;;;;Horror;;2.80;PC
Sovereign Syndicate;https://www.grouvee.com/games/98098-sovereign-syndicate/;Jan 15, 2024;;;;;;2.80;PC
Islands of Insight;https://www.grouvee.com/games/97145-islands-of-insight/;Feb 13, 2024;;Lunarch Studios;Behaviour Interactive;Adventure , Puzzle;;3.80;PC
Please, Touch The Artwork 2;https://www.grouvee.com/games/99288-please-touch-the-artwork-2/;Feb 19, 2024;;Thomas Waterzooi;Thomas Waterzooi;Puzzle;Please, Touch The Artwork;3.80;Android, Linux, Mac, PC, iPad, iPhone
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island;https://www.grouvee.com/games/97929-shiren-the-wanderer-the-mystery-dungeon-of-serpentcoil-island/;Feb 27, 2024;;Spike Chunsoft;Spike Chunsoft;Role-Playing , Strategy;Mystery Dungeon , Shiren the Wanderer;3.60;Nintendo Switch
Spiritfall;https://www.grouvee.com/games/99232-spiritfall/;Feb 28, 2024;;Gentle Giant;Gentle Giant;Action , Platformer;;3.80;Mac, PC
BORE BLASTERS;https://www.grouvee.com/games/99291-bore-blasters/;Mar 8, 2024;;;;Action;;3.20;PC
Highwater;https://www.grouvee.com/games/93153-highwater/;Mar 14, 2024;;Demagog Studio;Rogue Games;Adventure , Strategy;;2.80;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Midnight Scenes A Safe Place;https://www.grouvee.com/games/100356-midnight-scenes-a-safe-place/;Mar 19, 2024;;Octavi Navarro;Octavi Navarro;Horror , Puzzle;Midnight Scenes;3.40;PC
Millennia;https://www.grouvee.com/games/99522-millennia/;Mar 26, 2024;;C Prompt Games;Paradox Interactive AB;Strategy;;2.80;PC
Smite 2;https://www.grouvee.com/games/98827-smite-2/;Apr 2024;;Titan Forge Games;Hi-Rez Studios;MOBA;Smite;2.60;PC, PlayStation 5, Xbox Series X|S
Ereban: Shadow Legacy;https://www.grouvee.com/games/93245-ereban-shadow-legacy/;Apr 10, 2024;;Baby Robot Games;Raw Fury;Action;;2.80;PC, Xbox Series X|S
BioGun;https://www.grouvee.com/games/99721-biogun/;Apr 16, 2024;;Dapper Dog Digital;Ravenage Games;Action , Platformer;;3.80;PC
Top Spin 2K25;https://www.grouvee.com/games/99289-top-spin-2k25/;Apr 23, 2024;;Hangar 13;2K Sports;Tennis;Top Spin;3.20;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Megaton Musashi W: Wired;https://www.grouvee.com/games/100045-megaton-musashi-w-wired/;Apr 25, 2024;;Level-5 Inc.;Level-5 Inc.;Action , Role-Playing;Megaton Musashi;3.60;Nintendo Switch, PC, PlayStation 5
Homeworld 3;https://www.grouvee.com/games/77918-homeworld-3/;May 13, 2024;;Blackbird Interactive;Gearbox Publishing;Real-Time Strategy;Homeworld;3.20;PC
Star Wars Hunters;https://www.grouvee.com/games/86774-star-wars-hunters/;May 14, 2024;;Zynga;Lucasfilm Games , Zynga;Action;Star Wars;3.80;Android, Nintendo Switch, PC, iPad, iPhone
What the Fog?;https://www.grouvee.com/games/99889-what-the-fog/;May 14, 2024;;Behaviour Interactive;Behaviour Interactive;Adventure;Dead by Daylight;2.40;Mac, PC
Galacticare;https://www.grouvee.com/games/99952-galacticare/;May 23, 2024;;Cult Games;Brightrock Games;Simulation , Strategy;;3.00;PC
Warhammer 40,000: Boltgun - Forges of Corruption Expansion;https://www.grouvee.com/games/100534-warhammer-40000-boltgun-forges-of-corruption-expansion/;dimanche 16 juillet 1905;;;;;;3.60;PC
Artisan TD;https://www.grouvee.com/games/101325-artisan-td/;Jul 22, 2024;;4rtisans;Unexpected;Puzzle , Strategy;;3.00;PC
"""Mars 2120""";https://www.grouvee.com/games/100942-mars-2120/;Jul 31, 2024;;QuByte Interactive;QuByte Interactive;Action-Adventure , Platformer;;3.20;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Stormgate;https://www.grouvee.com/games/93152-stormgate/;Aug 13, 2024;;Frost Giant Studios;Frost Giant Studios;Strategy;;2.20;PC
Hunt: Showdown 1896;https://www.grouvee.com/games/100888-hunt-showdown-1896/;Aug 15, 2024;;Crytek GmbH;Crytek GmbH;Action , First-Person Shooter;Hunt: Showdown;3.60;PC, PlayStation 5, Xbox Series X|S
Farewell North;https://www.grouvee.com/games/101681-farewell-north/;Aug 16, 2024;;Kyle Banks;Mooneye Studios;Adventure;;4.00;Mac, Nintendo Switch, PC, Xbox Series X|S
Beyond Galaxyland;https://www.grouvee.com/games/101449-beyond-galaxyland/;Sep 26, 2024;;;;Adventure , Role-Playing;;3.20;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Magic Archery;https://www.grouvee.com/games/101642-magic-archery/;Oct 4, 2024;;;;;;4.20;PC
Phoenix Springs;https://www.grouvee.com/games/58628-phoenix-springs/;Oct 7, 2024;;Calligram Studios;Calligram Studios;Adventure;;3.60;Linux, Mac, PC
Awaken: Astral Blade;https://www.grouvee.com/games/101253-awaken-astral-blade/;Oct 22, 2024;;Dark Pigeon Games;ESDigital Games , Meridiem Games;Adventure , Platformer , Role-Playing;;2.60;Android, PC, PlayStation 4, PlayStation 5
Supervive;https://www.grouvee.com/games/102281-supervive/;Nov 20, 2024;;;;;;4.00;PC
Digseum;https://www.grouvee.com/games/102456-digseum/;Dec 9, 2024;;Rat Monthly;Rat Monthly;Simulation;;3.80;PC
Phantom Fury;https://www.grouvee.com/games/94466-phantom-fury/;dimanche 16 juillet 1905;;Interceptor Entertainment;3D Realms Entertainment;First-Person Shooter;Bombshell;2.75;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Stick It to the Stickman;https://www.grouvee.com/games/94253-stick-it-to-the-stickman/;dimanche 16 juillet 1905;;Free Lives;Devolver Digital;Action , Brawler;;2.50;PC
Alex Jones: NWO Wars;https://www.grouvee.com/games/98769-alex-jones-nwo-wars/;Jan 3, 2024;;;;Action , Shooter;;2.25;PC
The Night is Grey;https://www.grouvee.com/games/83469-the-night-is-grey/;Jan 5, 2024;;Whalestork Interactive;Whalestork Interactive;Adventure , Puzzle;;2.75;PC
No Case Should Remain Unsolved;https://www.grouvee.com/games/99155-no-case-should-remain-unsolved/;Jan 17, 2024;;;;Adventure , Visual Novel;;4.25;PC
Paper Lily - Chapter 1;https://www.grouvee.com/games/97895-paper-lily-chapter-1/;Jan 26, 2024;;Leef 6010;Leef 6010;Adventure , Puzzle , Role-Playing;Paper Lily;3.75;PC
Lords of Exile;https://www.grouvee.com/games/86704-lords-of-exile/;Feb 14, 2024;;Squidbit Works;Squidbit Works;Action , Platformer;;3.75;Mac, Nintendo Switch, PC
I Wani Hug that Gator!;https://www.grouvee.com/games/99161-i-wani-hug-that-gator/;Feb 15, 2024;;;;Visual Novel;;4.50;PC
100 Dino Cats;https://www.grouvee.com/games/99598-100-dino-cats/;Feb 26, 2024;;;;Puzzle;;3.00;PC
Terror at Oakheart;https://www.grouvee.com/games/99176-terror-at-oakheart/;Feb 27, 2024;;Tainted Pact;Assemble Entertainment;Action-Adventure , Horror;;3.00;PC
Ufouria: The Saga 2;https://www.grouvee.com/games/97410-ufouria-the-saga-2/;Feb 28, 2024;;SunSoft;Red Art Games , SunSoft;Platformer;Herebeke;4.25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Spell Disk;https://www.grouvee.com/games/99231-spell-disk/;Mar 1, 2024;;;;Action;;3.75;PC
Classified: France '44;https://www.grouvee.com/games/99536-classified-france-44/;Mar 5, 2024;;;Team17 Software Limited;Strategy;;3.00;PC
Death Trick: Double Blind;https://www.grouvee.com/games/99300-death-trick-double-blind/;Mar 12, 2024;;Misty Mountain Studio;Neon Doctrine;Adventure , Strategy;;3.75;PC
last seen online;https://www.grouvee.com/games/99703-last-seen-online/;Mar 15, 2024;;;;Horror , Puzzle;;3.00;PC
Terra Memoria;https://www.grouvee.com/games/97058-terra-memoria/;Mar 27, 2024;;La Moutare;Dear Villagers;Role-Playing;;3.75;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Turbo Kid;https://www.grouvee.com/games/90023-turbo-kid/;Apr 10, 2024;;Outerminds Inc.;Outerminds Inc.;Action , Vehicular Combat;;3.25;PC
Rotwood;https://www.grouvee.com/games/93249-rotwood/;Apr 24, 2024;;Klei Entertainment Inc.;Klei Entertainment Inc.;Action;;3.50;PC
Pools;https://www.grouvee.com/games/100751-pools/;Apr 26, 2024;;;UNIKAT Label;;;3.75;
Tell Me Your Story;https://www.grouvee.com/games/99734-tell-me-your-story/;Apr 26, 2024;;RedDeerGames;RedDeerGames;Puzzle;;3.50;Nintendo Switch, PC
Gray Zone Warfare;https://www.grouvee.com/games/98219-gray-zone-warfare/;Apr 30, 2024;;MADFINGER Games;MADFINGER Games;First-Person Shooter , Simulation;;3.00;PC
The Bridge Curse 2: The Extrication;https://www.grouvee.com/games/98762-the-bridge-curse-2-the-extrication/;May 9, 2024;;Softstar Entertainment Inc.;Game Source Entertainment , Gamera Game;Adventure;The Bridge Curse;4.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Indigo Park;https://www.grouvee.com/games/100031-indigo-park/;May 18, 2024;;;;Adventure;;3.25;PC
A Tower Full of Cats;https://www.grouvee.com/games/100517-a-tower-full-of-cats/;May 20, 2024;;Devcats;Devcats;Puzzle;;4.00;Stream
Devil Blade Reboot;https://www.grouvee.com/games/100006-devil-blade-reboot/;May 23, 2024;;SHIGATAKE GAMES;SHIGATAKE GAMES;Action , Shoot 'Em Up;Devil Blade;4.50;PC
Astor: Blade of the Monolith;https://www.grouvee.com/games/99750-astor-blade-of-the-monolith/;May 30, 2024;;C2 Game Studio;Versus Evil , tinyBuild;Action-Adventure;;3.75;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Killer Klowns from Outer Space: The Game;https://www.grouvee.com/games/94157-killer-klowns-from-outer-space-the-game/;Jun 4, 2024;;Illfonic , Television Games;Gambitious , Illfonic;Action;;3.25;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Psychroma;https://www.grouvee.com/games/93196-psychroma/;Jun 11, 2024;;Rocket Adrift;Rocket Adrift;Adventure;;3.00;Linux, Mac, PC
Beyond Good & Evil: 20th Anniversary Edition;https://www.grouvee.com/games/102692-beyond-good-evil-20th-anniversary-edition/;Jun 25, 2024;;Ubisoft Montpellier Studios , Virtuos Ltd.;Ubisoft Entertainment;Adventure , Puzzle , Shooter;Beyond Good & Evil;4.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Vampire Therapist;https://www.grouvee.com/games/100915-vampire-therapist/;Jul 18, 2024;;Little Bat Games;Little Bat Games;Visual Novel;;3.75;PC
Reynatis;https://www.grouvee.com/games/101187-reynatis/;Jul 25, 2024;;FuRyu;Arc System Works Co., Ltd. , FuRyu , NIS America, Inc.;Action-Adventure , Role-Playing;;2.75;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Minds Beneath Us;https://www.grouvee.com/games/100937-minds-beneath-us/;Jul 31, 2024;;BearBoneStudio;BearBoneStudio;Adventure;;4.50;PC
Sword of Convallaria;https://www.grouvee.com/games/101005-sword-of-convallaria/;Jul 31, 2024;;X.D. Network Inc.;X.D. Network Inc.;Role-Playing;;3.75;Android, PC, iPad, iPhone
Volgarr the Viking II;https://www.grouvee.com/games/97856-volgarr-the-viking-ii/;Aug 6, 2024;;Crazy Viking Studios;Digital Eclipse Software, Inc.;Action-Adventure;Volgarr;3.00;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
VLADiK BRUTAL;https://www.grouvee.com/games/101550-vladik-brutal/;Aug 9, 2024;;Narko Games;Narko Games;First-Person Shooter;;2.25;PC
Phantom Spark;https://www.grouvee.com/games/101067-phantom-spark/;Aug 15, 2024;;;Coatsink Software , Thunderful;Driving/Racing;;3.75;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Test Drive Unlimited Solar Crown;https://www.grouvee.com/games/83898-test-drive-unlimited-solar-crown/;Sep 12, 2024;;Kylotonn Entertainment;Bigben Interactive GmbH;Driving/Racing;Test Drive , Test Drive Unlimited;2.50;PC, PlayStation 5, Xbox Series X|S
Disney Epic Mickey: Rebrushed;https://www.grouvee.com/games/102679-disney-epic-mickey-rebrushed/;Sep 24, 2024;;Purple Lamp Studios;THQ Nordic;Adventure , Platformer;Disney Epic Mickey;4.25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
63 Days;https://www.grouvee.com/games/101587-63-days/;Sep 26, 2024;;Destructive Creations;Destructive Creations;Real-Time Strategy;;2.00;PC, PlayStation 5, Xbox Series X|S
All You Need is Help;https://www.grouvee.com/games/99756-all-you-need-is-help/;Sep 26, 2024;;Q-Games Ltd.;Q-Games Ltd.;Puzzle;;2.50;PC, Xbox Series X|S
Undisputed;https://www.grouvee.com/games/97975-undisputed/;Oct 11, 2024;;Steel City Interactive;KOCH Media , Steel City Interactive;Boxing , Fighting;;2.75;PC, PlayStation 5, Xbox Series X|S
Prim;https://www.grouvee.com/games/101806-prim/;Oct 23, 2024;;;Application Systems Heidelberg Software GmbH;Adventure , Puzzle;;3.75;PC
Psychopomp;https://www.grouvee.com/games/101889-psychopomp/;Oct 25, 2024;;Fading Club;Fading Club;Action-Adventure , First-Person Shooter , Horror;;3.75;PC
Pokémon Trading Card Game Pocket;https://www.grouvee.com/games/101893-pokemon-trading-card-game-pocket/;Oct 30, 2024;;Creatures, Inc. , DeNA , The Pokémon Company;The Pokémon Company;Card Game;Pokémon;3.25;Android, iPhone
Chicken Police: Into the HIVE!;https://www.grouvee.com/games/99032-chicken-police-into-the-hive/;Nov 7, 2024;;The Wild Gentlemen;Joystick Ventures;Adventure;Chicken Police , World of Wilderness;3.75;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Metro Awakening;https://www.grouvee.com/games/98988-metro-awakening/;Nov 7, 2024;;Vertigo Games;Deep Silver , Vertigo Games;Action-Adventure , First-Person Shooter , Simulation;Metro;3.75;PC, PlayStation 5
Follow the meaning;https://www.grouvee.com/games/102168-follow-the-meaning/;Nov 22, 2024;;HiKing Mind Studio;Second Maze;Adventure , Puzzle;;2.75;PC
Lost But Found;https://www.grouvee.com/games/102310-lost-but-found/;Nov 25, 2024;;Rogue Duck Interactive;Rogue Duck Interactive;Puzzle , Simulation , Strategy;;3.25;PC
Among Ashes;https://www.grouvee.com/games/102311-among-ashes/;Dec 9, 2024;;Rat Cliff Games;Rat Cliff Games;First-Person Shooter , Horror;;4.25;PC, PlayStation 5
LOK Digital;https://www.grouvee.com/games/100166-lok-digital/;Dec 11, 2024;;Icedrop Games , Letibus Design;Draknek;Puzzle;;4.50;Android, Mac, PC, iPad, iPhone
Citadelum;https://www.grouvee.com/games/100391-citadelum/;dimanche 16 juillet 1905;;Abylight Barcelona;Abylight;Simulation;;2.33;PC
Kitsune Tails;https://www.grouvee.com/games/88158-kitsune-tails/;dimanche 16 juillet 1905;;Kitsune Games;Kitsune Games , Midboss;Platformer;;3.67;Linux, Nintendo Switch, PC, PlayStation 4, PlayStation 5
Shipwrecked 64;https://www.grouvee.com/games/98915-shipwrecked-64/;Jan 1, 2024;;;;Action-Adventure , Adventure , Platformer;;3.67;PC
Spectre Divide;https://www.grouvee.com/games/101028-spectre-divide/;dimanche 16 juillet 1905;;;;First-Person Shooter;;3.67;PC
The Pony Factory;https://www.grouvee.com/games/99055-the-pony-factory/;Jan 18, 2024;;David Szymanski , John Szymanski;David Szymanski;First-Person Shooter , Horror;;3.00;PC
Oblivion Override;https://www.grouvee.com/games/98942-oblivion-override/;Jan 25, 2024;;;Paleo Entertainment;;;4.33;PC
Devilated;https://www.grouvee.com/games/86856-devilated/;Jan 29, 2024;;Trunka;Neon Doctrine;First-Person Shooter;;1.33;PC
Twilight Oracle;https://www.grouvee.com/games/100954-twilight-oracle/;Jan 30, 2024;;Cosmic Void;Cosmic Void;Adventure;;2.00;PC
Boxes: Lost Fragments;https://www.grouvee.com/games/100643-boxes-lost-fragments/;Feb 1, 2024;;Big Loop Studios;Snapbreak;Puzzle;;3.67;Android, PC, iPhone
A Difficult Game About Climbing;https://www.grouvee.com/games/100695-a-difficult-game-about-climbing/;Mar 6, 2024;;Pontypants;Pontypants;Puzzle;;4.00;Android, Browser, Mac, PC
Berserk Boy;https://www.grouvee.com/games/99317-berserk-boy/;Mar 6, 2024;;;Big Sugar;Action , Platformer;;3.67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Zoria: Age of Shattering;https://www.grouvee.com/games/81258-zoria-age-of-shattering/;Mar 7, 2024;;Tiny Trinket Games;Anshar Studios , Surefire.Games , Tiny Trinket Games;Role-Playing;;2.00;Linux, PC
Stolen Realm;https://www.grouvee.com/games/99353-stolen-realm/;Mar 8, 2024;;Burst2Flame Entertainment;Burst2Flame Entertainment;Action , Role-Playing;;3.33;PC
Bears In Space;https://www.grouvee.com/games/99527-bears-in-space/;Mar 22, 2024;;;Ravenscourt;First-Person Shooter;;3.33;
Between Horizons;https://www.grouvee.com/games/99472-between-horizons/;Mar 25, 2024;;Digitales Interactive;Assemble Entertainment;Adventure;;3.00;PC
Firestone Idle RPG;https://www.grouvee.com/games/84552-firestone-idle-rpg/;Apr 1, 2024;;Holyday Studios;Holyday Studios;Strategy;;1.33;PC
Frogmonster;https://www.grouvee.com/games/99787-frogmonster/;Apr 2, 2024;;;;Adventure , First-Person Shooter;;3.33;PC
Bendy: Secrets of the Machine;https://www.grouvee.com/games/99617-bendy-secrets-of-the-machine/;Apr 14, 2024;;Joey Drew Studios;Joey Drew Studios , TheMeatly Games;Adventure;Bendy;2.67;Mac, PC
Bellwright;https://www.grouvee.com/games/99788-bellwright/;Apr 23, 2024;;Donkey Crew;Donkey Crew , Snail Games USA Inc.;Simulation , Strategy;;2.33;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Demon Slayer: Kimetsu no Yaiba – Sweep the Board!;https://www.grouvee.com/games/97858-demon-slayer-kimetsu-no-yaiba-sweep-the-board/;Apr 25, 2024;;Aniplex , CyberConnect2 Co., Ltd.;Aniplex , Sega;Trivia/Board Game;Kimetsu no Yaiba;2.67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Moonlight Pulse;https://www.grouvee.com/games/99795-moonlight-pulse/;Apr 26, 2024;;;;Action-Adventure , Platformer;;3.33;PC
POOLS;https://www.grouvee.com/games/102191-pools/;Apr 26, 2024;;;UNIKAT Label;Horror;;3.00;PC
Tales from Candleforth;https://www.grouvee.com/games/99761-tales-from-candleforth/;Apr 30, 2024;;Under the Bed Games;Feardemic;Adventure;;3.33;PC
Heading Out;https://www.grouvee.com/games/88337-heading-out/;May 7, 2024;;Serious Sim;Serious Sim;Driving/Racing;;3.33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Read Only Memories: Neurodiver;https://www.grouvee.com/games/76625-read-only-memories-neurodiver/;May 16, 2024;;Midboss;Midboss;Adventure;Read Only Memories;2.67;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
A Tower Full of Cats;https://www.grouvee.com/games/101153-a-tower-full-of-cats/;May 20, 2024;;;;Puzzle;;4.00;PC
Amaze!;https://www.grouvee.com/games/100963-amaze/;May 20, 2024;;CrazyLabs , Vectormonk;QubicGames;Puzzle;;3.33;Nintendo Switch, PC
Ouros;https://www.grouvee.com/games/100639-ouros/;May 22, 2024;;;;Puzzle;;4.00;Android, Linux, Mac, PC, iPad, iPhone
Venture to the Vile;https://www.grouvee.com/games/97203-venture-to-the-vile/;May 22, 2024;;Studio Cut to Bits;Aniplex;Action-Adventure;;3.00;PC
Skald: Against the Black Priory;https://www.grouvee.com/games/87958-skald-against-the-black-priory/;May 30, 2024;;Scape-IT AS;Raw Fury , Scape-IT AS;Role-Playing;;4.67;PC
G-Mode Archives+ Persona 3 Aegis: The First Misison;https://www.grouvee.com/games/99642-g-mode-archives-persona-3-aegis-the-first-misison/;Jun 5, 2024;;Atlus Co., Ltd.;G-mode, Inc.;Role-Playing;G-Mode Archives , Persona , Persona 3;4.33;Nintendo Switch, PC
Monster Hunter Stories Collection;https://www.grouvee.com/games/100325-monster-hunter-stories-collection/;Jun 14, 2024;;Capcom , Marvelous AQL;Capcom;Role-Playing;;4.33;Nintendo Switch, PlayStation 4
The Talos Principle II: Road to Elysium;https://www.grouvee.com/games/102242-the-talos-principle-ii-road-to-elysium/;dimanche 16 juillet 1905;;;;;;4.67;PC
Tavern Talk;https://www.grouvee.com/games/100628-tavern-talk/;Jun 20, 2024;;;;Visual Novel;;3.67;Nintendo Switch, PC
ODDADA;https://www.grouvee.com/games/100300-oddada/;Q3 2024;;Mathilde Hoffmann , Sven Ahlgrimm;Sven Ahlgrimm;Music/Rhythm;;4.00;PC
Cakey's Twisted Bakery;https://www.grouvee.com/games/100678-cakeys-twisted-bakery/;Jul 5, 2024;;TinyMindz;TinyMindz;Action-Adventure;;2.33;PC
Fallen Leaf;https://www.grouvee.com/games/85880-fallen-leaf/;Jul 15, 2024;;Delta Shore Games;Delta Shore Games;Action , Platformer;;2.67;Mac, PC
