Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Warhammer 40,000: Space Marine II;https://www.grouvee.com/games/90080-warhammer-40000-space-marine-ii/;Sep 9, 2024;;Saber Interactive;Focus Home Interactive;Action-Adventure , Shooter;Warhammer 40,000 , Warhammer 40,000: Space Marine;3.81;PC, PlayStation 5, Xbox Series X|S
Dragon Age: The Veilguard;https://www.grouvee.com/games/73786-dragon-age-the-veilguard/;Oct 31, 2024;;BioWare;Electronic Arts;Action-Adventure , Role-Playing;Dragon Age;3.30;PC, PlayStation 5, Xbox Series X|S
Call of Duty: Black Ops 6;https://www.grouvee.com/games/94735-call-of-duty-black-ops-6/;Oct 25, 2024;;Raven Software , Treyarch;Activision;First-Person Shooter;Black Ops , Call of Duty;3.46;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tekken 8;https://www.grouvee.com/games/93982-tekken-8/;Jan 26, 2024;;Namco Bandai Games Inc. , Tekken Project;Namco Bandai Games Inc.;Fighting;Tekken;4.06;PC, PlayStation 5, Xbox Series X|S
Marvel Rivals;https://www.grouvee.com/games/99505-marvel-rivals/;Dec 6, 2024;;NetEase;NetEase;Action , Shooter;Marvel;3.64;PC, PlayStation 5, Xbox Series X|S
Like a Dragon: Infinite Wealth;https://www.grouvee.com/games/94430-like-a-dragon-infinite-wealth/;Jan 26, 2024;;Ryu ga Gotoku Studio;Sega;Role-Playing;Yakuza;4.35;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Dragon's Dogma II;https://www.grouvee.com/games/93376-dragons-dogma-ii/;Mar 22, 2024;;Capcom;Capcom;Action , Role-Playing;Dragon's Dogma;3.49;PC, PlayStation 5, Xbox Series X|S
Black Myth: Wukong;https://www.grouvee.com/games/84663-black-myth-wukong/;Aug 20, 2024;;Game Science Studio;Game Science Studio;Action-Adventure , Brawler;;4.15;PC, PlayStation 5, Xbox Series X|S
Mouthwashing;https://www.grouvee.com/games/101548-mouthwashing/;Sep 26, 2024;;Wrong Organ;Critical Reflex;Adventure;;4.02;PC
Still Wakes the Deep;https://www.grouvee.com/games/97131-still-wakes-the-deep/;Jun 18, 2024;;thechineseroom;Secret Mode;Adventure;;3.61;PC, PlayStation 5, Xbox Series X|S
