Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Tavern Talk;Jun 20, 2024;;;Visual Novel;;3,67;Nintendo Switch, PC
ODDADA;Aug 3, 2024;Mathilde Hoffmann , Sven Ahlgrimm;Sven Ahlgrimm;Music/Rhythm;;4;PC
Cakey's Twisted Bakery;Jul 5, 2024;TinyMindz;TinyMindz;Action-Adventure;;2,33;PC
Fallen Leaf;Jul 15, 2024;Delta Shore Games;Delta Shore Games;Action , Platformer;;2,67;Mac, PC
Magical Delicacy;Jul 16, 2024;Skaule;Whitethorn Digital;Platformer;;3,33;Nintendo Switch, PC, Xbox One, Xbox Series X|S
Abathor;Jul 25, 2024;Pow Pixel Games;JanduSoft;Action , Platformer;;2,67;PC
Slider;Jul 25, 2024;boomo;boomo;Adventure , Puzzle;;3;PC
The Crush House;Aug 9, 2024;Nerial;Devolver Digital;Simulation;;3,67;PC
Intravenous II;Aug 15, 2024;Explosive Squat Games;HypeTrain Digital;Action , Shooter;Intravenous;3,67;PC
Leximan;Aug 15, 2024;Knights of Borria;Marvelous Europe Limited;Adventure;;3;PC
Devil's Hideout;Sep 10, 2024;Cosmic Void;Cosmic Void;Adventure , Horror;;2;Linux, Mac, PC
The Elder Scrolls: Castles;Sep 10, 2024;Bethesda Game Studios;Bethesda Softworks;Simulation;The Elder Scrolls;2,67;Android, iPad, iPhone
Grapple Dogs: Cosmic Canines;Sep 12, 2024;Medallion Games;Super Rare Games;Platformer;;4;Nintendo Switch, PC, Xbox Series X|S
Keylocker | Turn Based Cyberpunk Action;Sep 18, 2024;Moonana;Moonana , Serenity Forge;Music/Rhythm , Role-Playing;;2,67;Linux, PC, Xbox Series X|S
Parking Garage Rally Circuit;Sep 20, 2024;Walaber Entertainment;Walaber Entertainment;Driving/Racing;;4,33;Linux, PC
G,I, Joe: Wrath of Cobra;Sep 26, 2024;Maple Powered Games;Freedom Games , indie,io;Brawler;G,I, Joe;3,33;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
The Holy Gosh Darn;Sep 26, 2024;Perfectly Paranormal;The Yogscast;Adventure;;4,33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Zero Protocol;Sep 26, 2024;;;First-Person Shooter , Horror;;3,33;PC
Looney Tunes: Wacky World of Sports;Sep 27, 2024;Bamtang Games;GameMill Entertainment;Sports;Looney Tunes;3,33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Zoochosis;Sep 30, 2024;Clapperheads;Clapperheads;Adventure;;1,67;Mac, PC
Uncle Chop's Rocket Shop;Oct 5, 2024;Beard Envy;Kasedo Games;Puzzle , Simulation;;4,33;PC
Sword Art Online: Fractured Daydream;Oct 4, 2024;Dimps Corporation;Namco Bandai Games Inc,;Adventure , Role-Playing;Sword Art Online;2;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Last Time I Saw You;Oct 10, 2024;Maboroshi Artworks;Chorus Worldwide Games;Adventure;;3,33;PC
MechWarrior 5: Clans;Oct 16, 2024;Piranha Games;Piranha Games;Action , Action-Adventure , Shooter , Simulation;BattleTech , MechWarrior;3,33;PC, PlayStation 5, Xbox Series X|S
Teenage Mutant Ninja Turtles: Mutants Unleashed;Oct 18, 2024;A Heartful of Games;Outright Games;Brawler , Platformer;Teenage Mutant Ninja Turtles;1,67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Nuclear Nightmare;Oct 21, 2024;BG Productions;BG Productions;Action , Horror;;2,67;PC
The Smurfs: Dreams;Oct 24, 2024;Ocellus Studio;Microïds;Adventure , Platformer;Smurfs;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Finding Frankie;Oct 25, 2024;Finding Frankie Team;Finding Frankie Team;Action-Adventure;;3,33;PC
Late Homework | 遅れた宿題;Oct 30, 2024;sodaraptor;Raptorsoft Games;Horror;;4,33;Browser, Mac, PC
Planet Coaster 2;Nov 6, 2024;Frontier Developments Ltd,;Frontier Developments Ltd,;Simulation;Planet Coaster;2,33;PC, PlayStation 5, Xbox Series X|S
Death of the Reprobate;Nov 7, 2024;Joe Richardson;Joe Richardson;Adventure;The Immortal John Triptych;3;PC
Farming Simulator 25;Nov 12, 2024;GIANTS Software GmbH;GIANTS Software GmbH;Simulation;Farming Simulator;3,67;Mac, PC, PlayStation 5, Xbox Series X|S
Songs of Silence;Nov 13, 2024;Chimera Entertainment GmbH;Chimera Entertainment GmbH;Role-Playing , Strategy;;2,33;PC, PlayStation 5, Xbox Series X|S
The Devil Within: Satgat;Nov 21, 2024;Newcore Games;Newcore Games , Astrolabe Games;Action , Platformer;;3,67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Alien: Rogue Incursion;Dec 19, 2024;Survios;Survios;First-Person Shooter;Alien;3,33;Meta Quest, PC, PlayStation 5
CATO: Buttered Cat;Dec 20, 2024;;;Platformer , Puzzle;;2;PC
Corpse Party II: Darkness Distortion;Dec 25, 2024;5pb, , Team GrisGris;5pb,;Adventure;Corpse Party;5;Nintendo Switch, PC, PlayStation 4
Deathbound;Dec 28, 2024;Trialforge Studio;Tate Interactive Sp z,o,o;Action-Adventure , Role-Playing;;2;PC
Delta Force: Hawk Ops;Jan 1, 2024;Timi Studio;Level Infinite;Action , First-Person Shooter;Delta Force;3;Android, PC, PlayStation 4, PlayStation 5, Xbox Series X|S, iPhone
Winter Memories;Jan 5, 2024;DojinOtome;Kagura Games;Adventure , Role-Playing , Simulation , Visual Novel;;3;PC
KinitoPET;Jan 9, 2024;troy_en;troy_en;Minigame Collection , Puzzle , Simulation;;3,5;Browser, PC
Despair: Blood Curse;Jan 10, 2024;;;Horror;;2;PC
Cryptis;Jan 12, 2024;;;Action , First-Person Shooter;;2,5;PC
Home Safety Hotline;Jan 16, 2024;Night Signal Entertainment;Night Signal Entertainment;Puzzle , Simulation;;3,5;PC
Kingsvein;Jan 16, 2024;Rad Codex;Rad Codex;Role-Playing , Strategy;;4;PC
Love and Deepspace;Jan 18, 2024;;;;;4;Android, iPhone
Rotten Flesh - Cosmic Horror Survival Game;Jan 22, 2024;Steelkrill Studio;Steelkrill Studio;Adventure , Puzzle;;2;PC
Teletext;Jan 30, 2024;;;Puzzle;;3;PC
Murders on the Yangtze River;Jan 31, 2024;;;Adventure;;4;Mac, PC
WitchHand;Feb 7, 2024;Jon Nielsen;HopFrog;Card Game , Strategy;;3;PC
Epigraph;Feb 19, 2024;Matthew Brown;Matthew Brown;Puzzle;;4;PC
Terminator: Dark Fate - Defiance;Feb 21, 2024;Cats Who Play;Slitherine Software UK Ltd,;Real-Time Strategy;Terminator;3;PC
Yohane the Parhelion - NUMAZU in the MIRAGE -;Feb 22, 2024;Bexide;Bexide;Card Game;Love Live!;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Wizzerd Quest;Feb 23, 2024;;;Action , Role-Playing;;3;PC
Piczle Cross: Story of Seasons;Feb 27, 2024;Score Studios;Rainy Frog;Puzzle;Bokujō Monogatari , Piczle , Story of Seasons;4,5;Nintendo Switch, PC
Picross S+;Feb 29, 2024;Jupiter Corp,;Jupiter Corp,;Compilation , Puzzle;Picross , Picross S , Picross e;3,5;Nintendo Switch
SANYA;Mar 1, 2024;Helpnode;Helpnode;Adventure , Puzzle;;3,5;PC
Quilts & Cats of Calico;Mar 5, 2024;Monster Couch;Monster Couch;Strategy;;2;Nintendo Switch, PC
Dragon's Dogma 2 Character Creator & Storage;Mar 7, 2024;Capcom;Capcom;Role-Playing;Dragon's Dogma;2,5;PC
New Star GP;Mar 7, 2024;New Star Games;;Driving/Racing;;4;PC
Death of a Wish;Mar 11, 2024;Melessthanthree;Syndicate Atomic, LLC;Action , Role-Playing;;3;Linux, Mac, Nintendo Switch, PC
Subterrain: Mines of Titan;Mar 12, 2024;Pixellore;Freedom Games;Strategy;Subterrain;2;PC
Max Mustard;Mar 21, 2024;;;Action , Adventure;;4,5;Meta Quest
Unleaving;Mar 27, 2024;;;Platformer , Puzzle;;2;PC
CARS;Apr 1, 2024;Playables;Playables;Adventure , Driving/Racing;;3;Linux, Mac, PC
Please Leave Me Alone, I Need to Poop;Apr 8, 2024;CoproTech Enterprise Solutions;CoproTech Enterprise Solutions;Minigame Collection , Visual Novel;;2;Mac, PC
The Planet Crafter;Apr 10, 2024;Miju Games;Miju Games;Adventure;;4,5;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox
Life Eater;Apr 16, 2024;Strange Scaffold;Frosty Pop , Strange Scaffold;Adventure , Role-Playing , Simulation;;2,5;PC
Alchemy Frogs;May 1, 2024;;;Platformer , Puzzle;;2,5;PC
Gift;May 8, 2024;;;;;2;
Solo Leveling: Arise;May 8, 2024;Netmarble;Netmarble;Role-Playing;;3,5;Android, PC, iPad, iPhone
Touhou Genso Wanderer: Foresight;May 15, 2024;Aqua Style;Phoenixx;Action , Role-Playing;Touhou Genso Wanderer , Touhou Project;2,5;Nintendo Switch, PC, PlayStation 4
Rungore;May 16, 2024;;Gamera Game , GrabTheGames , UpgradePoint;;;2;PC
Genopanic;May 17, 2024;;;Action-Adventure , Platformer;;2;PC
Playing Kafka;May 21, 2024;Charles Games;Charles Games;Adventure;;3,5;Mac, PC
Zet Zillions;May 23, 2024;OTA IMON Studios;Raw Fury;Strategy;;4,5;PC
Anthology of the Killer;May 28, 2024;;;Adventure;;4,5;Linux, Mac, PC
F1 24;May 28, 2024;Codemasters;EA Sports;Driving/Racing;Formula 1;4;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Capes;May 29, 2024;Spitfire Interactive;Daedalic Entertainment;Strategy;;3;Linux, PC
Kamaeru: A Frog Refuge;Jun 8, 2024;Humble Reeds;Armor Games Studios;Simulation;;4;Linux, Mac, PC
Pooool;Jun 8, 2024;Noah King;Digimoss;Billiards , Puzzle;;4;PC
Rocket Knight Adventures Re-Sparked;Jun 11, 2024;Konami Corporation;Limited Run Games;Compilation , Platformer;Rocket Knight Adventures;3,5;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Drug Dealer Simulator 2;Jun 20, 2024;Byterunners Game Studio;Movie Games S,A,;Simulation;Drug Dealer Simulator;3;PC
Neo Sprint;Jun 27, 2024;Headless Chicken Games;Atari SA;Driving/Racing;Sprint;3;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Oh Deer;Jun 27, 2024;;;Action-Adventure;;3,5;PC
Mirthwood;Jul 4, 2024;Bad Ridge Games;V Publishing;Role-Playing;;1,5;PC
Reka;Jul 7, 2024;Emberstorm;Sold Out;Adventure;;4;PC
Horticular;Jul 11, 2024;inDirection Games;Slug Disco;Simulation , Strategy;;3;PC
Linkito;Jul 23, 2024;Kalinarm;Kimeria Games , Playdigious;Puzzle;;3;Linux, PC
Ogu and the Secret Forest;Jul 29, 2024;Moonlab Studio , SinkHoleStudio;SinkHoleStudio;Action , Adventure , Puzzle;;4;Android, Mac, PC, iPhone
Fate/stay night REMASTERED;Aug 7, 2024;Type-Moon;Aniplex;Adventure;Fate/;5;Nintendo Switch, PC
Dungeons & Degenerate Gamblers;Aug 8, 2024;;The Yogscast;Role-Playing , Strategy;;3;Linux, Mac, PC
Supermarket Together;Aug 9, 2024;;;Simulation;;1,5;PC
shapez 2;Aug 15, 2024;;;Simulation , Strategy;;4,5;
Madden NFL 25;Aug 16, 2024;EA Tiburon;Electronic Arts;Football;Madden NFL;2;PlayStation 5, Xbox Series X|S
Sucker for Love: Date to Die For;Aug 23, 2024;Akabaka;Dread XP;Horror , Visual Novel;Dread X Collection , Sucker For Love;3;PC
Aestik;Aug 25, 2024;;;Platformer;;2,5;PC
Fairy Tail: Dungeons;Aug 26, 2024;Ginolabo;Kodansha Ltd,;Role-Playing;Fairy Tail;3;PC
Pico Park 2;Aug 27, 2024;TECOPARK;TECOPARK;Platformer , Puzzle;Pico Park;4;Mac, Nintendo Switch, PC
The Abandoned Planet;Aug 29, 2024;;;Action , Puzzle;;2,5;Android, PC, iPhone
Tales Of Wind;Sep 4, 2024;Neocraft Limited;Neocraft Limited;MMORPG;;3;Android, PC, iPhone
Edge of Sanity;Sep 13, 2024;Vixa Games;Daedalic Entertainment , Vixa Games;Adventure , Horror , Strategy;;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Funko Fusion;Sep 13, 2024;10:10 Games;;Action-Adventure;Funko;2,5;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Hands of Necromancy II;Sep 16, 2024;HON Team;Fulqrum Publishing;First-Person Shooter;;3,5;PC
Just a To The Moon Series Beach Episode;Sep 20, 2024;Freebird Games;Freebird Games;Adventure , Role-Playing;To the Moon;4;PC
Maiden Cops;Sep 22, 2024;Pippin Games;Pippin Games;Brawler;;3;PC
Warhammer 40,000: Rogue Trader - Void Shadows;Sep 24, 2024;Owlcat Games;Owlcat Games;Role-Playing , Strategy;Warhammer 40,000;4;Mac, PC, PlayStation 5, Xbox Series X|S
Worlds of Aria;Sep 24, 2024;;Ishtar Games;Adventure , Role-Playing;;2,5;PC
The Legend of Heroes: Kai no Kiseki - Farewell, O Zemuria;Sep 26, 2024;Nihon Falcom Corp,;Nihon Falcom Corp,;Role-Playing;The Legend of Heroes , Trails;4;PC, PlayStation 4, PlayStation 5
Worms Armageddon: Anniversary Edition;Sep 26, 2024;Digital Eclipse Software, Inc,;Team17 Software Limited;Compilation , Strategy;Worms;4;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Daemonologie;Oct 1, 2024;Katanalevy;Katanalevy;Adventure , Horror;;4;PC
Fruitbus;Oct 1, 2024;Krillbite;Krillbite;Simulation;;2;PC
TETRACHROMA;Oct 2, 2024;Sparse Vector , Sparsevector;Sparse Vector , Sparsevector;Puzzle;;3,5;PC
Pinball Spire;Oct 2, 2024;Apparition Games;indie,io;Action-Adventure , Pinball;;2,5;PC
Beloved Rapture;Oct 7, 2024;Rapturous Studio;2 Left Thumbs;Role-Playing;;2,5;PC
Blazing Strike;Oct 16, 2024;RareBreed Makes Games;Aksys Games , Soft Source;Fighting;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Arsene Lupin: Once a Thief;Oct 17, 2024;Blazing Griffin;Microïds;Adventure;;2;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
RetroRealms Double Feature: Halloween and Ash vs Evil Dead;Oct 18, 2024;WayForward Technologies;Nighthawk Interactive;Brawler , Compilation , Platformer;Evil Dead , Halloween , RetroRealms;3,5;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Teleforum;Oct 19, 2024;;Critical Reflex;Adventure , Horror , Puzzle;;2,5;Mac, PC
The Rocky Horror Show Video Game;Oct 20, 2024;Freakzone Games;Bit Bot Media , Freakzone Games;Platformer;Rocky Horror;3;Nintendo Switch, PC
Tormenture;Oct 21, 2024;Croxel Studios;Billete Cohete;Action-Adventure , Horror;;4,5;PC
Kong: Survivor Instinct;Oct 22, 2024;7 Levels;7 Levels;Action-Adventure , Platformer;King Kong;3;PC, PlayStation 5, Xbox Series X|S
Technotopia;Oct 23, 2024;;Alawar Entertainment;Card Game , Puzzle;;3;PC
Card-en-Ciel;Oct 24, 2024;Inti Creates Co,, Ltd,;Inti Creates Co,, Ltd,;Card Game;;3,5;PC
Rogue Flight;Oct 24, 2024;Truant Pixel, LLC;Perp Games;Shoot 'Em Up;;3,5;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Connection: The Nightmare Within;Oct 25, 2024;;;Action-Adventure , Horror;;4;PC
Tostchu;Oct 28, 2024;Ravenscape Collective;Mars Bacon LLC;Adventure , Horror , Simulation;;3;PC
Ratshaker;Nov 1, 2024;Sunscorched Studios;Sunscorched Studios;Adventure;;2,5;PC
In Sink;Nov 12, 2024;Clock Out Games;Kwalee;Adventure , Puzzle;;2,5;PC
Great God Grove;Nov 15, 2024;Limbo Lane;Surprise Attack Games;Adventure;;4;PC
MySims Cozy Bundle;Nov 19, 2024;Maxis Software;Electronic Arts;Compilation , Simulation;MySims , The Sims;3;Nintendo Switch, PC
Luma Island;Nov 20, 2024;Feel Free Games;Feel Free Games;Adventure , Role-Playing , Simulation , Strategy;;3;PC
Get To Work;Dec 2, 2024;;;Platformer;;3;PC
Pretend It's Not There;Dec 3, 2024;Dreadloom;Dreadloom;Adventure , Horror;;3;PC
Entropy Survivors;Dec 4, 2024;Moving Pieces Interactive;;Shooter;;3;PC, PlayStation 5, Xbox Series X|S
Fitness Boxing 3: Your Personal Trainer;Dec 5, 2024;Imagineer Co,, Ltd,;Imagineer Co,, Ltd,;Boxing , Fitness;Fitness Boxing;3,5;Nintendo Switch
Symphonia;Dec 5, 2024;Sunny Peak;Headup Games;Platformer;;4;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Stars In The Trash;Dec 9, 2024;Valhalla Cats;Valhalla Cats;Adventure , Platformer;;2,5;PC
Go Home Annie;Dec 10, 2024;;;Action , Horror;;4;PC
NanoApostle;Dec 12, 2024;;PQube;Action;;3,5;Nintendo Switch, PC
Desmond's Castle;Dec 14, 2024;;;Action-Adventure;;3;PC
Everholm;Dec 16, 2024;Chonky Loaf;indie,io;Role-Playing , Simulation;;1;PC
GreedFall II: The Dying World;Dec 19, 2024;Spiders;Bigben Interactive GmbH;Action , Role-Playing;GreedFall;3;PC
Into the Emberlands;Dec 21, 2024;Tiny Roar;Daedalic Entertainment;Strategy;;2;PC
Killer Bean;Dec 25, 2024;Killer Bean Studios LLC;Killer Bean Studios LLC;Shooter;;3;PC
Mark of the Deep;Dec 25, 2024;Mad Mimic Interactive;Mad Mimic Interactive;Action-Adventure;;3;PC
Mira: The Legend of the Djinns;Jan 1, 2024;Little Knight Games;Assemble Entertainment;Action-Adventure;;2;PC
Never Alone 2;Jan 1, 2024;E-Line Media;Humble Games;;Never Alone;4;PC
Petit Island;Jan 1, 2024;Xelo Games;Soedesco;Adventure;;1;Nintendo Switch, PC
Project Haven;Jan 1, 2024;Code Three Fifty One;Code Three Fifty One;Role-Playing , Strategy;;2;PC
Rebots;Jan 1, 2024;FlatPonies;Astra Logical , Bandello , FlatPonies;Puzzle , Strategy;Rebots;3;Mac, PC
Sonokuni;Jan 1, 2024;Don Yasa Crew;Kakehashi Games;Action;;5;PC
Sulfur;Jan 1, 2024;Perfect Random;Perfect Random;Action-Adventure , First-Person Shooter;;3;PC, Xbox Series X|S
Tales of the Shire: A The Lord of the Rings Game;Jan 1, 2024;Weta Workshop;Private Division;Simulation;The Lord of the Rings;4;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Thrasher;Jan 1, 2024;Puddle;Creature;Driving/Racing;;4;PC, PlayStation 5, Xbox Series X|S
Tiny Bookshop;Jan 1, 2024;;Skystone Games;Simulation;;5;
Toxic Crusaders;Jan 1, 2024;RetroWare;RetroWare;Brawler;Toxic Crusaders;3;PC
Tribes 3: Rivals; Jan 2, 2024;Prophecy Games;Prophecy Games;First-Person Shooter;Earthsiege , Tribes;3;PC
Unrailed 2: Back on Track;Jan 2, 2024;Indoor Astronaut;Indoor Astronaut , Kepler Ghost;Action , Strategy;Unrailed!;5;PC
Bootlegger's Mafia Racing Story;Jan 2, 2024;;;Driving/Racing;;1;PC
Guts 'n Grunts;Jan 5, 2024;;;Action , Platformer;;3;PC
Kick Bastards;Jan 5, 2024;Something Something Games;Something Something Games;Action , Platformer;;2;PC
Zombie Party;Jan 8, 2024;;;Strategy;;2;PC
BoardLand;Jan 10, 2024;;;Strategy;;3;PC
The Complex IV;Jan 13, 2024;;;Role-Playing;;1;PC
Interaction Isn't Explicit;Jan 15, 2024;;;Shooter;;4;PlayStation 5
No Case Should Remain Unsolved;Jan 17, 2024;Somi;Somi;Visual Novel;;5;Nintendo Switch, PC
Exiled;Jan 18, 2024;John Szymanski;John Szymanski;Horror , Puzzle;;3;PC
Abyss School;Jan 19, 2024;;;Puzzle;;3;PC
Two Climbers;Jan 19, 2024;;;Platformer;;4;PC
Until the Last Bullet;Jan 19, 2024;Beast Games , Forever Entertainment;Forever Entertainment;Shooter;;2;PC
Deadly Contagion;Jan 22, 2024;;;Action-Adventure , Horror;;3;PC
Dice of God;Jan 22, 2024;;;Strategy;;2;PC
Writer's Rush;Jan 22, 2024;Frogstorm;Frogstorm;Simulation , Strategy;;3;PC
Stargate: Timekeepers;Jan 23, 2024;CreativeForge Games , Slitherine Software UK Ltd,;Slitherine Software UK Ltd,;Real-Time Strategy;Stargate;2;PC
Aviators;Jan 24, 2024;;;Educational , Puzzle , Simulation;;4;PC
Caught On Camera;Jan 24, 2024;;;;;3;PC
A Night at the Watermill;Jan 26, 2024;;;;;3;Linux, Mac, PC
Balls of Steel;Jan 30, 2024;Big Boat Interactive;Atari SA;Pinball;Balls of Steel;3;PC
One Punch Man: World;Jan 31, 2024;T3 Entertainment;Crunchyroll Games , Perfect World;Action;One Punch Man;2;Android, iPhone
Pru the Pigeon;Feb 1, 2024;kurigamedev;;Platformer;;5;PC
Strinova;Feb 1, 2024;Day1 Studio , iDreamsky Technology Holdings Ltd;Tencent Games;Shooter;;3;Android, PC, PlayStation 5
Legendary Hoplite;Feb 2, 2024;;Ravenage Games;;;1;PC
Surveillance Work;Feb 3, 2024;;;Horror;;3;PC
Black Gunner Wukong;Feb 5, 2024;;;Shooter;;2;PC
CLeM;Feb 6, 2024;Mango Protocol;Iceberg Interactive;Adventure , Puzzle;;3;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Prisonela DX;Feb 9, 2024;;;Platformer;;3;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series X|S
Soulshard;Feb 12, 2024;Nibb Games;Nibb Games;Platformer , Puzzle;;3;PC
Spark & Kling;Feb 12, 2024;;;Platformer , Puzzle;;3;PC
News Tower;Feb 13, 2024;;;Simulation , Strategy;;5;PC
Sonder;Feb 15, 2024;;;Platformer , Puzzle;;3;PC
Fossilfuel 2;Feb 20, 2024;;;Action-Adventure , First-Person Shooter , Horror;;3;PC
Qomp 2;Feb 20, 2024;Graphite Lab;Atari;Action , Puzzle;qomp;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
World War: An Age of Industry & Magic;Feb 20, 2024;;;Card Game;;3;PC
5-fun Go ni Igai na Ketsumatsu: Monochrome no Toshokan;Feb 22, 2024;D3 Publisher Inc,;D3 Publisher Inc,;Visual Novel;;4;Nintendo Switch
CorpoNation: The Sorting Process;Feb 22, 2024;Canteen;Playtonic Games;Adventure , Puzzle , Simulation , Strategy;;3;Nintendo Switch, PC, Xbox One, Xbox Series X|S
Yohane the Parhelion - NUMAZU in the MIRAGE -;Feb 22, 2024;Bexide;Bexide;Card Game , Strategy;Love Live!;2;Nintendo Switch, PC, PlayStation 5
Shadowkin;Feb 23, 2024;The Fox Knocks;The Fox Knocks;Action;;2;PC
Code Zodiac;Feb 27, 2024;Morgan Walkup;Bike Ride Games;Action;;2;PC
RPG Maker Unite;Feb 28, 2024;Gotcha Gotcha Games;Gotcha Gotcha Games;Educational , Role-Playing;RPG Maker;5;Mac, PC
STAR WARS: Dark Forces Remaster;Feb 28, 2024;Night Dive Studios;Night Dive Studios;Action , First-Person Shooter;Star Wars;3;PC
What the Crow?!;Feb 28, 2024;;;Action , Platformer , Strategy;;2;Playdate
Welcome to ParadiZe;Feb 29, 2024;EKO Software;Bigben Interactive GmbH;Action-Adventure , Role-Playing;;2;PC, PlayStation 5, Xbox Series X|S
The Brew Barons;Mar 1, 2024;Lifetap Studios;Lifetap Studios;Action , Role-Playing;;3;PC
Utter Takedown;Mar 1, 2024;;;Strategy;;1;PC
Rabbit Hole;Mar 2, 2024;;;;;4;PC
Unbearable;Mar 5, 2024;;;Horror;;1;
Card Fencer;Mar 6, 2024;;;Card Game , Role-Playing;;2;PC
Ludus Mortis;Mar 6, 2024;;;Role-Playing;;3;PC
A Twisted Tale;Mar 7, 2024;;;Adventure;;2;Linux, Mac, PC
Blade Prince Academy;Mar 7, 2024;Angel Corp;Firesquid;Role-Playing , Strategy;;1;PC
Chasing the Unseen;Mar 7, 2024;Strange Shift Studio;Strange Shift Studio;Adventure;;2;PC
Fitness Boxing feat, Hatsune Miku: Exercise with Miku;Mar 7, 2024;Imagineer Co,, Ltd,;Aksys Games , Imagineer Co,, Ltd,;Fitness , Music/Rhythm;Fitness Boxing;3;Nintendo Switch
Quiet on Set;Mar 7, 2024;;;Puzzle;;3;PC
Mythical Mayhem;Mar 9, 2024;;;Card Game;;5;PC
The Weird Dream;Mar 9, 2024;Dreamscape Designs;Red Phantom Games;Adventure , Horror , Puzzle;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
GITADORA GALAXY WAVE;Mar 13, 2024;Konami Corporation;Konami Corporation;Music/Rhythm;DrumMania , GITADORA , GuitarFreaks;3;Arcade
The Order of the Snake Scale;Mar 13, 2024;;;Adventure , Horror;;3;PC
Bingle Bingle;Mar 18, 2024;;;Gambling;;3;PC
Fruit Mountain;Mar 18, 2024;Bexide;Bexide;Puzzle;;4;Mac, PC
Street Shuffle;Mar 18, 2024;;MassDiGI;Card Game;;4;PC
Midnight Scenes: A Safe Place;Mar 19, 2024;;;Adventure;;4;Mac, PC
Raw Metal;Mar 19, 2024;;;;;3;PC
Prometheus Unbound;Mar 20, 2024;;;Platformer;;2;PC
Krimson;Mar 21, 2024;;PM Studios;Action , Horror , Music/Rhythm , Platformer;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Stunt Paradise;Mar 21, 2024;Brinemedia;Brinemedia;Driving/Racing;;3;Nintendo Switch, PC, Xbox One, Xbox Series X|S
A Game Called Paako;Mar 22, 2024;;Hawthorn Games;Platformer;;2;PC
DARKGEMS;Mar 22, 2024;Xeneder;Xeneder;Puzzle;;2;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Living With Sister: Monochrome Fantasy;Mar 23, 2024;Inusuku;Kagura Games;Role-Playing , Visual Novel;;3;PC
,Forty-five;Mar 24, 2024;;;Card Game;;3;PC
The Scarlet Tower;Mar 25, 2024;;;;;5;
Felix the Cat;Mar 27, 2024;Konami Corporation;Konami Corporation , Limited Run Games;Compilation , Platformer;Felix the Cat;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Hebereke - Enjoy Edition;Mar 27, 2024;City Connection;City Connection;Platformer;;4;Nintendo Switch, PC
Maniac;Mar 28, 2024;Transhuman Design;Skystone Games;Action;;2;PC
Vellum;Mar 28, 2024;Alvios Games;Alvion Co,, Ltd;Action-Adventure;;4;PC
Blood, Fuel, Ammo & Speed;Mar 29, 2024;;;Shooter;;3;PC
PHOSPHENIA;Mar 29, 2024;Nightwatch Studios;Nightwatch Studios;Adventure , Platformer;;1;PC
Sealed in Wax;Mar 29, 2024;;;Card Game;;5;PC
A Liminal Place;Mar 30, 2024;The Midnight Mirage;The Grand Street Studios;Adventure , Puzzle , Simulation;;4;PC
Goons: Legends & Mayhem;Apr 1, 2024;RageCure Games;Firestoke;Action , Hockey;Goons;5;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Times & Galaxy;Apr 2, 2024;Copychaser Games;Surprise Attack Games;Adventure , Role-Playing;;4;PC, Xbox Series X|S
Skaramazuzu;Apr 3, 2024;Bleeding Moon Studio , Iphigames;Iphigames;Adventure , Platformer;;2;
