Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
XDefiant;May 21, 2024;Ubisoft San Francisco;Ubisoft Entertainment;First-Person Shooter;Tom Clancy;2,98;PC, PlayStation 5, Xbox Series X|S
Dungeons of Hinterberg;Jul 18, 2024;Microbird;Curve Studios;Action , Role-Playing;;3,86;PC, Xbox Series X|S
UFO 50;Sep 18, 2024;Mossmouth, LLC;Mossmouth, LLC;Compilation;;3,93;PC
Deep Rock Galactic: Survivor;Feb 14, 2024;Funday Games;Ghost Ship Publishing;Shooter;Deep Rock Galactic;3,71;PC
Tomb Raider I-II-III Remastered;Feb 14, 2024;Aspyr Media, Inc,;Square Enix;Action-Adventure , Compilation;Tomb Raider;3,73;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Harold Halibut;Apr 16, 2024;Slow Bros,;Slow Bros,;Adventure;;3,62;PC, PlayStation 5, Xbox Series X|S
Chained Together;Jun 19, 2024;;;Platformer;;3,28;PC
Portal: Revolution;Jan 6, 2024;;;Action , Adventure , First-Person Shooter , Puzzle;Portal;3,89;Linux, PC
Flintlock: The Siege of Dawn;Jul 18, 2024;A44;Kepler Interactive;Action-Adventure;;3,14;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Children of the Sun;Apr 9, 2024;René Rother;Devolver Digital;Shooter;;3,64;PC
Path of Exile 2;Dec 6, 2024;Grinding Gear Games;Grinding Gear Games;Action , Role-Playing;Path of Exile;4,06;PC, PlayStation 5, Xbox Series X|S
Dragon Quest III HD-2D Remake;Nov 14, 2024;Amata K,K,;Square Enix;Role-Playing;Dragon Quest , HD-2D Series;3,66;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Manor Lords;Apr 26, 2024;Slavic Magic;Hooded Horse;Real-Time Strategy , Strategy;;3,65;PC, Xbox One, Xbox Series X|S
The First Descendant;Jul 2, 2024;Nexon Games;Nexon Corporation;Action , Role-Playing , Shooter;;3,15;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Anger Foot;Jul 11, 2024;Free Lives;Devolver Digital;First-Person Shooter;;3,41;PC
Tactical Breach Wizards;Aug 22, 2024;Suspicious Developments;Suspicious Developments;Strategy;;4,06;PC
Emio – The Smiling Man: Famicom Detective Club;Aug 29, 2024;5pb, , Nintendo;Nintendo;Adventure;Famicom Tantei Club;3,94;Nintendo Switch
Age of Mythology: Retold;Sep 4, 2024;CaptureAge , Forgotten Empires , Tantalus Media , Virtuos Ltd, , World's Edge;Microsoft Studios;Real-Time Strategy;Age of Mythology;3,75;PC, Xbox Series X|S
Sheepy: A Short Adventure;Feb 6, 2024;MrSuicideSheep;MrSuicideSheep;Adventure , Platformer;;3,81;PC
Penny's Big Breakaway;Feb 21, 2024;Evening Star;Private Division;Action-Adventure , Platformer;;3,13;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
WWE 2K24;Mar 4, 2024;Visual Concepts;2K Games;Wrestling;WWE , WWE 2K;3,5;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
